"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"lJ87yD_8u3U",2018-12-09,"UCu8ucb1LRJd1gwwXutYDgTg","top 7 incredible travel destinations of 2020 where to travel this year","The Top Travel Destinations of 2020! A list of where you NEED to travel in 2019! I share with you the best World travel destinations of 2019 with travel guides in ...","https://i.ytimg.com/vi/lJ87yD_8u3U/default.jpg","120","90","https://i.ytimg.com/vi/lJ87yD_8u3U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/lJ87yD_8u3U/hqdefault.jpg","480","360","Erik Conover","none",1104101,20603,458,0,1715,12,2018
"wwNqEzyBy6E",2018-09-16,"UCM8P1oAFg_k0hUwM2EnBm4w","the 10 biggest travel mistakes to not make","The 10 BIGGEST Travel MISTAKES I've Made, so you won't! Check out my travel vlogs: https://goo.gl/NbHJ87 - - - - - - - - - - - - - - Over the past few years I've ...","https://i.ytimg.com/vi/wwNqEzyBy6E/default.jpg","120","90","https://i.ytimg.com/vi/wwNqEzyBy6E/mqdefault.jpg","320","180","https://i.ytimg.com/vi/wwNqEzyBy6E/hqdefault.jpg","480","360","Monica Church","none",3238350,86036,3263,0,3456,9,2018
"ypsQuQnoZLY",2018-05-21,"UCGFZGt1oNTlJtWkzcxUbc1Q","khai dreams travels ft atwood","Have a nice Day:) <U+25CB> Open Description <U+25CB> --------------------------------------------------------------- <U+25CB> Follow khai dreams: https://www.instagram.com/khai_dreams/ ...","https://i.ytimg.com/vi/ypsQuQnoZLY/default.jpg","120","90","https://i.ytimg.com/vi/ypsQuQnoZLY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ypsQuQnoZLY/hqdefault.jpg","480","360","WetVibes","none",2413215,31236,278,0,1046,5,2018
"g0dvJX4ikHM",2018-04-18,"UCkbTTGoBpjX8ogXHCt-aegw","how to afford a life of non stop travel even if you 39 re broke af","How To Afford to a Life of Non-Stop Travel (Even if You're Broke AF). LEARN TO SHOOT LIKE ME: https://bit.ly/2BJ4V4B GROW YOUR INSTAGRAM LIKE ME: ...","https://i.ytimg.com/vi/g0dvJX4ikHM/default.jpg","120","90","https://i.ytimg.com/vi/g0dvJX4ikHM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/g0dvJX4ikHM/hqdefault.jpg","480","360","Sorelle Amore","none",1421895,53343,2363,0,1883,4,2018
"xRbPAVnqtcs",2018-05-24,"UCweOkPb1wVVH0Q0Tlj4a5Pw","mv bol4 <U+BCFC><U+BE68><U+AC04><U+C0AC><U+CD98><U+AE30> travel <U+C5EC><U+D589>","[MV] BOL4(<U+BCFC><U+BE68><U+AC04><U+C0AC><U+CD98><U+AE30>) _ Travel(<U+C5EC><U+D589>) *English subtitles are now available. :D (Please click on 'CC' button or activate 'Interactive Transcript' function) [Notice] ...","https://i.ytimg.com/vi/xRbPAVnqtcs/default.jpg","120","90","https://i.ytimg.com/vi/xRbPAVnqtcs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xRbPAVnqtcs/hqdefault.jpg","480","360","1theK (<U+C6D0><U+B354><U+CF00><U+C774>)","none",59606337,417514,11764,0,20909,5,2018
"UTn2aCVt5gk",2018-09-17,"UCHJuQZuzapBh-CuhRYxIZrg","riding in personal submarines swimming with stingrays travel dares s1 ep 8","Sponsor Content produced by Insider Studios and Marriott Rewards® Premier Plus Credit Card. We ended our Travel Dares adventures swimming with ...","https://i.ytimg.com/vi/UTn2aCVt5gk/default.jpg","120","90","https://i.ytimg.com/vi/UTn2aCVt5gk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/UTn2aCVt5gk/hqdefault.jpg","480","360","Insider","none",896762,7611,295,0,482,9,2018
"afRP1RoBYhU",2018-12-13,"UCLM5XNynW9u1_usGYL98YKw","travel to the northeast with an rv","After becoming stranded in North Carolina in the path of Hurricane Florence I was finally able to get on the road. Then we visited unlikely RV destinations such ...","https://i.ytimg.com/vi/afRP1RoBYhU/default.jpg","120","90","https://i.ytimg.com/vi/afRP1RoBYhU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/afRP1RoBYhU/hqdefault.jpg","480","360","Traveling Robert","none",468937,2433,176,0,275,12,2018
"uyqaU1Q2Qjo",2018-01-30,"UCkbTTGoBpjX8ogXHCt-aegw","solo travel what to know before traveling by yourself sorelle amore","SOLO TRAVEL: What to Know Before Traveling By Yourself LEARN TO SHOOT LIKE ME: https://bit.ly/2BJ4V4B GROW YOUR INSTAGRAM LIKE ME: ...","https://i.ytimg.com/vi/uyqaU1Q2Qjo/default.jpg","120","90","https://i.ytimg.com/vi/uyqaU1Q2Qjo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/uyqaU1Q2Qjo/hqdefault.jpg","480","360","Sorelle Amore","none",609172,23758,387,0,985,1,2018
"u0hrhZoL9Cg",2018-11-27,"UCt_NLJ4McJlCyYM-dSPRo7Q","how you can travel full time amp make money on social media 10 tips to become a digital nomad","If you've ever dreamed of traveling full time or becoming a digital nomad, it has never been more accessible and I want to show you how social media marketing ...","https://i.ytimg.com/vi/u0hrhZoL9Cg/default.jpg","120","90","https://i.ytimg.com/vi/u0hrhZoL9Cg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/u0hrhZoL9Cg/hqdefault.jpg","480","360","Lost LeBlanc","none",1464292,66423,912,0,3477,11,2018
"2jrv9TJfMCw",2018-02-10,"UCrcYxVSkBgg9szDSwwZaNwg","my top 22 travel life hacks amp tips jeanine amapola","HELLO FROM NORWAY! Here are 22 of my best travel life hacks and travel tips! I travel quite often so I thought I would share all my little secrets :) I hope you ...","https://i.ytimg.com/vi/2jrv9TJfMCw/default.jpg","120","90","https://i.ytimg.com/vi/2jrv9TJfMCw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2jrv9TJfMCw/hqdefault.jpg","480","360","Jeanine Amapola","none",491248,15492,341,0,639,2,2018
