"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"CnAmeh0-E-U","2019-03-01T04:58:14.000Z","UCfyi9QuDWdapI6ICbjYgxtA","Jonas Brothers - Sucker","Sucker (Official Video) Get ""Sucker"" Now: https://JonasBrothers.lnk.to/suckerYD Connect with Jonas Brothers: https://www.instagram.com/jonasbrothers ...","https://i.ytimg.com/vi/CnAmeh0-E-U/default.jpg","120","90","https://i.ytimg.com/vi/CnAmeh0-E-U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CnAmeh0-E-U/hqdefault.jpg","480","360","JonasBrothersVEVO","none",249903745,5425909,108963,0,181551
"yG60iRJwmfA","2019-03-01T05:23:14.000Z","UCdshgFp1JHnqjnB5HrPRwfQ","Jonas Brothers - Sucker (Lyrics)","Jonas Brothers - Sucker (Lyrics) Get ""Jonas Brothers - Sucker"" Now: https://JonasBrothers.lnk.to/suckerYD Listen to ""Jonas Brothers - Sucker"" on Spotify: ...","https://i.ytimg.com/vi/yG60iRJwmfA/default.jpg","120","90","https://i.ytimg.com/vi/yG60iRJwmfA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/yG60iRJwmfA/hqdefault.jpg","480","360","Sleepy Wolf","none",72369767,388667,11348,0,10587
"AfqciL4ExKY","2018-04-07T19:28:37.000Z","UCikQMv3ExsE0hC1muY1SZkw","San Diego Sockers Top Goals in 2017-2018","MASL indoor soccer Sockers highlight reel.","https://i.ytimg.com/vi/AfqciL4ExKY/default.jpg","120","90","https://i.ytimg.com/vi/AfqciL4ExKY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AfqciL4ExKY/hqdefault.jpg","480","360","eddiebear60","none",5414,15,3,0,2
"iHMD7ju7SZg","2019-03-15T19:53:12.000Z","UCaeicBEBBbaF4QQ_OgJ5cvw","Jonas Brothers - SUCKER (Lyrics)","Hey ! Guys. So, this video is about lyrics for a beautiful song called "" SUCKER "", originally by Jonas Brothers. --- Turn on notifications and never miss a video!","https://i.ytimg.com/vi/iHMD7ju7SZg/default.jpg","120","90","https://i.ytimg.com/vi/iHMD7ju7SZg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/iHMD7ju7SZg/hqdefault.jpg","480","360","Leader Of Lyrics","none",1825821,20367,471,0,900
"bnviV9krLnw","2019-03-08T07:27:27.000Z","UCJ0uqCI0Vqr2Rrt1HseGirg","Jonas Brothers: Sucker","Late Late Show music guest Jonas Brothers cap off their week with James Corden performing their new hit ""Sucker"" for the first time on television. More Late ...","https://i.ytimg.com/vi/bnviV9krLnw/default.jpg","120","90","https://i.ytimg.com/vi/bnviV9krLnw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/bnviV9krLnw/hqdefault.jpg","480","360","The Late Late Show with James Corden","none",10980369,351715,2162,0,9091
"_I7ZyFGtdaY","2019-11-10T19:20:56.000Z","UCxSyU4k6cRshvJwTKK1r-BQ","socker","oh yeah.","https://i.ytimg.com/vi/_I7ZyFGtdaY/default.jpg","120","90","https://i.ytimg.com/vi/_I7ZyFGtdaY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_I7ZyFGtdaY/hqdefault.jpg","480","360","John Robinson","none",209,8,2,0,NA
"WkhK2XJLJis","2019-03-21T18:59:22.000Z","UCGzGbfhdFsjP1yfJUEpSvWg","JONAS BROTHERS - Sucker | Kyle Hanagami Choreography","SUCKER - Jonas Brothers | Dance Choreography by Kyle Hanagami SUBSCRIBE <U+25B7> http://bit.ly/1LCpH0O INSTAGRAM <U+25B7> http://www.instagram.com/ ...","https://i.ytimg.com/vi/WkhK2XJLJis/default.jpg","120","90","https://i.ytimg.com/vi/WkhK2XJLJis/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WkhK2XJLJis/hqdefault.jpg","480","360","KYLE HANAGAMI","none",7149573,156779,1598,0,2510
"zMXmsVx7sSE","2019-11-09T12:29:31.000Z","UCM_JpNXiPZEIXSiFbzB3mtA","Språkvägen B  Socker","","https://i.ytimg.com/vi/zMXmsVx7sSE/default.jpg","120","90","https://i.ytimg.com/vi/zMXmsVx7sSE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zMXmsVx7sSE/hqdefault.jpg","480","360","YongHua 870501","none",89,3,0,0,0
"RGVVtvJe9dM","2018-08-25T06:24:16.000Z","UC99CRS7MmvHtW4yH_8Y8V6Q","Socker!","Tiny Lumberjack v35 2018 För mer info gå till tinylumberjack.se I rollerna: Björn Arvidsson och Marcus A Olsson.","https://i.ytimg.com/vi/RGVVtvJe9dM/default.jpg","120","90","https://i.ytimg.com/vi/RGVVtvJe9dM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/RGVVtvJe9dM/hqdefault.jpg","480","360","Tiny Lumberjack prod","none",88,2,0,0,0
"bDlQ4lgxttc","2019-06-28T17:01:55.000Z","UCWiPeT23MsKY1TdV_vJ1ONA","Kent - Socker  (piano cover by Robeloto)","I play by hearing only so I am sorry if I make mistakes. This was supposed to be an synthesia video so you could see all strokes. But I will upload that later in the ...","https://i.ytimg.com/vi/bDlQ4lgxttc/default.jpg","120","90","https://i.ytimg.com/vi/bDlQ4lgxttc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/bDlQ4lgxttc/hqdefault.jpg","480","360","Robelo2","none",281,9,0,0,0
"7-qs_B_JlBs","2018-10-29T15:31:32.000Z","UCFpLQ8UTvfeNYOaXP66AmpA","Undvik socker!","","https://i.ytimg.com/vi/7-qs_B_JlBs/default.jpg","120","90","https://i.ytimg.com/vi/7-qs_B_JlBs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/7-qs_B_JlBs/hqdefault.jpg","480","360","Katrin Zytomierska","none",3628,26,4,0,1
"vy4-dGf4rzA","2017-06-11T05:22:26.000Z","UCe4vswOuXiQO1d2ziSQV3Rg","Så mycket socker innehåller 10 olika livsmedel!!!!! + tips att minska intaget","PRENUMERERA! (: Hej fina du öppna mig :) Hallå och välkomna till ännu en ny fakta video. Idag kommer jag dela med mig av lite tips på hur man kan minska ...","https://i.ytimg.com/vi/vy4-dGf4rzA/default.jpg","120","90","https://i.ytimg.com/vi/vy4-dGf4rzA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/vy4-dGf4rzA/hqdefault.jpg","480","360","Lea Wallin","none",53958,964,74,0,277
"SbNsea8iO0k","2017-08-22T09:32:17.000Z","UCORLbI_fwmG7hxurck_WmIg","&quot;Sugarface&quot; - Det händer med huden när du äter för mycket socker - Nyhetsmorgon (TV4)","Nyhetsmorgon i TV4 från 2017-08-22: Hudterapeuten Annica Forsgren Kjellman tipsar om hur du håller din hy sommarfräsch efter semestern och hur du råder ...","https://i.ytimg.com/vi/SbNsea8iO0k/default.jpg","120","90","https://i.ytimg.com/vi/SbNsea8iO0k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SbNsea8iO0k/hqdefault.jpg","480","360","Nyhetsmorgon","none",43856,153,19,0,NA
"GFX2rTcboSQ","2019-09-26T11:03:29.000Z","UCQlDO2NocLXJBQ83Ezdd_JA","Socker &amp; Salt","Provided to YouTube by Danmark Music Group Socker & Salt · Leander & Smith · Caroline Leander · Peter Smith Du eller Aldrig <U+2117> Gateway Music Released on: ...","https://i.ytimg.com/vi/GFX2rTcboSQ/default.jpg","120","90","https://i.ytimg.com/vi/GFX2rTcboSQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/GFX2rTcboSQ/hqdefault.jpg","480","360","Leander & Smith - Topic","none",14,0,0,0,0
"23SiIKjA_z8","2017-08-25T08:38:58.000Z","UC_jgpi7rH0KT4nvHNUJ_G7A","IcaMaxi socker haninge","På ICA Maxi Haninge har vi barnpassning alla dagar i veckan.","https://i.ytimg.com/vi/23SiIKjA_z8/default.jpg","120","90","https://i.ytimg.com/vi/23SiIKjA_z8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/23SiIKjA_z8/hqdefault.jpg","480","360","ICA Maxi Haninge","none",10502,0,0,0,0
"aVTw_j02Tl4","2019-06-16T17:36:36.000Z","UCS806HcEcKkmMGbbWS-McFA","Kent &quot;Socker&quot; live Göteborg 30 september 2016","Kent - Socker (turnédebut) @ Scandinavium, Göteborg 30 september 2016. Från mitt masterband, hela kommer snart A: Roland R05 + AT943HC V: Sony ...","https://i.ytimg.com/vi/aVTw_j02Tl4/default.jpg","120","90","https://i.ytimg.com/vi/aVTw_j02Tl4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/aVTw_j02Tl4/hqdefault.jpg","480","360","Kompakt Mode","none",1047,24,0,0,2
"khdPWY4GQkU","2019-05-27T23:51:44.000Z","UC1qecGOmm_eg64jv8G1F2aQ","Tamiya CR01 Rock Socker Running video.  <U+D0C0><U+BBF8><U+C57C> CR01 <U+B77D><U+C0AC><U+CEE4> RC <U+C8FC><U+D589> <U+BE44><U+B514><U+C624>","Tamiya CR01 Rock Socker <U+C8FC><U+D589> <U+C601><U+C0C1> 190528 <U+C81C><U+D488> <U+C815><U+BCF4> http://www.tamiyamall.co.kr/mall/item.asp?siteid=shop&catid=446&itemid=6565 #tamiya #CR01 ...","https://i.ytimg.com/vi/khdPWY4GQkU/default.jpg","120","90","https://i.ytimg.com/vi/khdPWY4GQkU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/khdPWY4GQkU/hqdefault.jpg","480","360","stonewhite Mr.","none",1014,14,0,0,21
"CkZ-YT-VUAQ","2019-05-04T01:48:46.000Z","UCS9LhT6pAk4VHNtBXB7MKjA","Socker is being a JERK","Hopefully you enjoyed this vlog! Let me know how you like the trail vlogs, and let me know what else you want to see down below! My Etsy Shop: ...","https://i.ytimg.com/vi/CkZ-YT-VUAQ/default.jpg","120","90","https://i.ytimg.com/vi/CkZ-YT-VUAQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CkZ-YT-VUAQ/hqdefault.jpg","480","360","MTHorses","none",929,45,0,0,13
"K_4i3trKTBI","2019-08-22T05:06:17.000Z","UCShdiLfzLtPYZw5NsZSQiSA","SOCKER <U+0E41><U+0E21><U+0E47><U+0E01><U+0E2D><U+0E2D><U+0E1F><U+0E42><U+0E23><U+0E14><U+0E43><U+0E2A><U+0E48><U+0E22><U+0E31><U+0E01><U+0E29><U+0E4C><U+0E17><U+0E35><U+0E48><U+0E04><U+0E38><U+0E13><U+0E15><U+0E49><U+0E2D><U+0E07><U+0E25><U+0E2D><U+0E07>!!","SOCKER 20x10.0 ET-19 6H139.7 <U+0E41><U+0E21><U+0E47><U+0E01> Big Size <U+0E2A><U+0E44><U+0E15><U+0E25><U+0E4C><U+0E2D><U+0E40><U+0E21><U+0E23><U+0E34><U+0E01><U+0E31><U+0E19> <U+0E17><U+0E35><U+0E48><U+0E04><U+0E38><U+0E13><U+0E15><U+0E49><U+0E2D><U+0E07><U+0E25><U+0E2D><U+0E07> <U+0E1C><U+0E25><U+0E34><U+0E15><U+0E14><U+0E49><U+0E27><U+0E22><U+0E01><U+0E23><U+0E23><U+0E21><U+0E27><U+0E34><U+0E18><U+0E35><U+0E01><U+0E32><U+0E23><U+0E1C><U+0E25><U+0E34>...","https://i.ytimg.com/vi/K_4i3trKTBI/default.jpg","120","90","https://i.ytimg.com/vi/K_4i3trKTBI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/K_4i3trKTBI/hqdefault.jpg","480","360","PP Superwheels","none",1964,20,1,0,2
