"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"XwvZE3mSgas",2019-12-23,"UCRq8WvO55Cnk6GY-WT07KHg","top 10 beautiful destinations where to travel in 2020","After three years of year-round travel, I've compiled a list of the top 10 places you should consider for your 2020 travel. Head over to ...","https://i.ytimg.com/vi/XwvZE3mSgas/default.jpg","120","90","https://i.ytimg.com/vi/XwvZE3mSgas/mqdefault.jpg","320","180","https://i.ytimg.com/vi/XwvZE3mSgas/hqdefault.jpg","480","360","Iz Harris","none",464442,13885,280,0,1131,12,2019
"0GZSfBuhf6Y",2019-06-11,"UCh3Rpsdv1fxefE0ZcKBaNcQ","25 best places to visit in europe travel europe","Although it is the world's second smallest continent, Europe welcomes more than half of all the tourists worldwide. In fact, 7 of the 10 most visited countries in the ...","https://i.ytimg.com/vi/0GZSfBuhf6Y/default.jpg","120","90","https://i.ytimg.com/vi/0GZSfBuhf6Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/0GZSfBuhf6Y/hqdefault.jpg","480","360","touropia","none",5092291,25791,1946,0,2247,6,2019
"Qmi-Xwq-MEc",2019-12-01,"UCvK4bOhULCpmLabd2pDMtnA","traveling to the happiest country in the world","We are selecting one person who makes a purchase from Seek Discomfort of ANY AMOUNT on Sunday, December 1st and another person on Monday, ...","https://i.ytimg.com/vi/Qmi-Xwq-MEc/default.jpg","120","90","https://i.ytimg.com/vi/Qmi-Xwq-MEc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Qmi-Xwq-MEc/hqdefault.jpg","480","360","Yes Theory","none",2828475,138076,1312,0,7948,12,2019
"4ABuab0Jvwk",2019-08-26,"UC295-Dw_tDNtZXFeAPAW6Aw","40 travel hacks you need to know before your next trip","BRILLIANT PACKING TIPS Travelling is my favorite hobby because I love to discover new countries and cities. This video is full of handy ideas that will help you ...","https://i.ytimg.com/vi/4ABuab0Jvwk/default.jpg","120","90","https://i.ytimg.com/vi/4ABuab0Jvwk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4ABuab0Jvwk/hqdefault.jpg","480","360","5-Minute Crafts","none",8270951,88694,7635,0,3413,8,2019
"O_9TgmIg1nA",2019-10-10,"UCGaOvAFinZ7BCN_FDmw74fQ","bora bora vacation travel guide expedia","Bora Bora – The vacation destination that dreams are made of. Follow our journey through this island paradise. Check out all the places we visited in this video: ...","https://i.ytimg.com/vi/O_9TgmIg1nA/default.jpg","120","90","https://i.ytimg.com/vi/O_9TgmIg1nA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/O_9TgmIg1nA/hqdefault.jpg","480","360","Expedia","none",334531,3708,73,0,205,10,2019
"ODuEl4oNae0",2019-11-10,"UCvK4bOhULCpmLabd2pDMtnA","traveling to the least visited country in the world","Do you know what the least visited country in the world is?! My experience there was incredibly surprising. Get 2 months of Skillshare completely free by using ...","https://i.ytimg.com/vi/ODuEl4oNae0/default.jpg","120","90","https://i.ytimg.com/vi/ODuEl4oNae0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ODuEl4oNae0/hqdefault.jpg","480","360","Yes Theory","none",7853999,476550,4668,0,30017,11,2019
"YIUs1pagLnM",2019-03-23,"UCt_NLJ4McJlCyYM-dSPRo7Q","how to travel amsterdam in 2019","If you're coming to Amsterdam in 2019, you need to watch this travel guide. These are the best things to do in Amsterdam from food, nightlife, hotels. Cheap ...","https://i.ytimg.com/vi/YIUs1pagLnM/default.jpg","120","90","https://i.ytimg.com/vi/YIUs1pagLnM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YIUs1pagLnM/hqdefault.jpg","480","360","Lost LeBlanc","none",772797,12667,485,0,999,3,2019
"c9-3qiEQWes",2019-12-20,"UCi4s3kO1-xxCDaw8yX56umw","top 10 cheapest countries you must travel in 2020","Top 10 CHEAPEST Countries You MUST Travel in 2020 Thanks to SmartNews for sponsoring this video! Download Now - http://hyperurl.co/o9vkb1 Follow me ...","https://i.ytimg.com/vi/c9-3qiEQWes/default.jpg","120","90","https://i.ytimg.com/vi/c9-3qiEQWes/mqdefault.jpg","320","180","https://i.ytimg.com/vi/c9-3qiEQWes/hqdefault.jpg","480","360","Brett Conti","none",343757,7830,351,0,935,12,2019
"P7u-2lIC9tc",2019-11-25,"UC63mNFJR8EAb8wAIJwoCmTA","46 incredible travel hacks you need to know before your next trip","Timestamps 00:09 Smart travel hacks 00:40 How to hide money 02:21 Creative gift wrapping trick ...","https://i.ytimg.com/vi/P7u-2lIC9tc/default.jpg","120","90","https://i.ytimg.com/vi/P7u-2lIC9tc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/P7u-2lIC9tc/hqdefault.jpg","480","360","5-Minute Crafts FAMILY","none",4189060,35453,3190,0,588,11,2019
"s1XoYkn3osE",2019-08-10,"UCGaOvAFinZ7BCN_FDmw74fQ","barcelona vacation travel guide expedia","Barcelona – dive into the Catalan creativity that has defined the city and draws millions to its heart each year. After this video, you'll see why! Check out all the ...","https://i.ytimg.com/vi/s1XoYkn3osE/default.jpg","120","90","https://i.ytimg.com/vi/s1XoYkn3osE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/s1XoYkn3osE/hqdefault.jpg","480","360","Expedia","none",188874,2400,48,0,157,8,2019
"2nY2BoXNQoA",2019-11-13,"UCLxAS02eWvfZK4icRNzWD_g","you are my sunshine cover music travel love white island camiguin philippines","Thanks for watching our cover of ""You Are My Sunshine"" on the White Island, Camiguin Philippines. Special thanks to our sponsors for making this video ...","https://i.ytimg.com/vi/2nY2BoXNQoA/default.jpg","120","90","https://i.ytimg.com/vi/2nY2BoXNQoA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2nY2BoXNQoA/hqdefault.jpg","480","360","Music Travel Love","none",6578520,141180,1036,0,5822,11,2019
"Zvd8XLwT3IY",2019-01-30,"UCYSMmZnOy9LEy5jhEgMyddQ","why i started solo traveling and why you should too","I did a blog post on this topic as well - check it out here! https://allisonanderson.com/blog/why-i-started-solo-traveling •Adventures on INSTAGRAM ...","https://i.ytimg.com/vi/Zvd8XLwT3IY/default.jpg","120","90","https://i.ytimg.com/vi/Zvd8XLwT3IY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Zvd8XLwT3IY/hqdefault.jpg","480","360","Allison Anderson","none",229752,9920,192,0,883,1,2019
"kidwSFte8-E",2019-06-28,"UCsT0YIqwnpJCM-mx7-gSA4Q","life lessons from the youngest person to travel to every country lexie alford tedxklagenfurt","Do you know how many countries there are in the world? 21-year-old Lexie does because she took on the adventure to visit them all. She broke the Guinness ...","https://i.ytimg.com/vi/kidwSFte8-E/default.jpg","120","90","https://i.ytimg.com/vi/kidwSFte8-E/mqdefault.jpg","320","180","https://i.ytimg.com/vi/kidwSFte8-E/hqdefault.jpg","480","360","TEDx Talks","none",705660,24355,834,0,1331,6,2019
"8MX1zPRsJvY",2019-12-01,"UCXulruMI7BHj3kGyosNa0jA","inside afghanistan 2019 extreme travel afghanistan","So I decided to take a trip to Afghanistan and this is what happened... -Donate to save the children of Afghanistan here: https://donate.unicef.org.nz -My ...","https://i.ytimg.com/vi/8MX1zPRsJvY/default.jpg","120","90","https://i.ytimg.com/vi/8MX1zPRsJvY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/8MX1zPRsJvY/hqdefault.jpg","480","360","Indigo Traveller","none",1044952,27356,790,0,5409,12,2019
"2qrprbNUhtY",2019-11-07,"UCO3tlaeZ6Z0ZN5frMZI3-uQ","how to travel the world for cheap","In this video, we will debunk the myth that you need thousands of dollars to travel the world. In 2019, I've taken 35+ flights around the world. It is my hope that I ...","https://i.ytimg.com/vi/2qrprbNUhtY/default.jpg","120","90","https://i.ytimg.com/vi/2qrprbNUhtY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2qrprbNUhtY/hqdefault.jpg","480","360","Nate O'Brien","none",206920,9102,143,0,718,11,2019
"YlRIBEDg_pc",2019-11-29,"UCrlcqlqYJV28LvH1iYgw4DA","a very extra dubai travel vlog","HI ANGELS - WELCOME TO DUBAI! today we're not doing a how to DIY video, and I'm not making a dress out of any crazy material - today, I'm taking you with ...","https://i.ytimg.com/vi/YlRIBEDg_pc/default.jpg","120","90","https://i.ytimg.com/vi/YlRIBEDg_pc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YlRIBEDg_pc/hqdefault.jpg","480","360","Amber Scholl","none",847453,37336,572,0,2625,11,2019
