"Title","views","Publisher","Time","Duration","Like","Dislike"
"2018 FIFA World Cup | The Official Film","1,405,233 views",,,"1:19:26","46K","1.3K"
"2018 WORLD CUP FINAL: France 4-2 Croatia","43,059,103 views",,,"2:10","290K","25K"
"Portugal v Spain - 2018 FIFA World Cup Russia™ - MATCH 3","78,754,898 views",,,"2:10","524K","41K"
"TOP 10 GOALS | 2018 FIFA World Cup Russia","51,054,167 views",,,"5:05","565K","32K"
"👉 Russia 2018 - An Unforgettable World Cup","9,736,903 views",,,"3:50","154K","9.6K"
"Brazil v Mexico - 2018 FIFA World Cup Russia™ - Match 53","25,239,996 views",,,"2:10","134K","11K"
"Brazil v Belgium - 2018 FIFA World Cup Russia™ - Match 58","30,442,559 views",,,"2:10","158K","16K"
"Germany v Mexico - 2018 FIFA World Cup Russia™ - Match 11","15,234,065 views",,,"2:10","83K","4.8K"
"Croatia ● Road to the World Cup Final - 2018","1,101,224 views",,,"13:10","16K","529"
"Sweden v England - 2018 FIFA World Cup Russia™ - Match 60","11,485,736 views",,,"2:10","58K","4.1K"
"Belgium v Tunisia - 2018 FIFA World Cup Russia™ - Match 29","9,383,385 views",,,"2:10","44K","2.5K"
"Live It Up (Official Video) - Nicky Jam feat. Will Smith & Era Istrefi (2018 FIFA World Cup Russia)","190,382,546 views",,,"3:56","2M","127K"
"2010 WORLD CUP FINAL: Netherlands 0-1 Spain (AET)","5,338,175 views",,,"4:26","40K","2.2K"
"Belgium v Japan - 2018 FIFA World Cup Russia™ - Match 54","31,761,350 views",,,"2:10","166K","9.5K"
"Colombia v England - 2018 FIFA World Cup Russia™ - Match 56","19,211,127 views",,,"2:10","91K","7.9K"
"Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43","38,552,462 views",,,"2:10","269K","20K"
"FIFA World Cup 2018 Russia - All 169 Goals - English Commentary - HD","1,002,760 views",,,"21:45","11K","433"
"World Cup 2018 - The Film - Magic In The Air","995,917 views",,,"0:06","16K","328"
"France v Argentina - 2018 FIFA World Cup Russia™ - Match 50","45,825,559 views",,,"2:10","216K","16K"
"World Cup 2018 Commentary ● Peter Drury ●  The Football Poet ● Wavin' Flag","6,120,808 views",,,"11:44","72K","2K"
"England v Panama - 2018 FIFA World Cup Russia™ - Match 30","12,103,774 views",,,"2:10","53K","3.1K"
"Croatia v England - 2018 FIFA World Cup Russia™ - Match 62","24,982,589 views",,,"2:10","159K","10K"
"Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49","31,951,920 views",,,"2:10","146K","13K"
"Top 5 Most Thrilling Matches of the 2018 World Cup","1,529,982 views",,,"8:17","12K","743"
"IR Iran v Portugal - 2018 FIFA World Cup Russia™ - Match 35","15,917,492 views",,,"2:10","72K","4.9K"
"Nigeria v Argentina - 2018 FIFA World Cup Russia™ - Match 39","24,936,524 views",,,"2:10","158K","11K"
"Germany v Sweden - 2018 FIFA World Cup Russia™ - Match 27","24,426,190 views",,,"2:10","148K","8.4K"
"Best Goalkeeper Saves - World Cup 2018 Russia HD","5,204,710 views",,,"3:22","34K","2K"
"TOP 30 GOALS WORLD CUP 2018 FIFA RUSSIA","11,066,547 views",,,"7:29","91K","5K"
"Reliving the World Cup final! Kids recreate all the goals from the match","23,720,502 views",,,"2:02","72K","15K"
"Argentina v Croatia - 2018 FIFA World Cup Russia™ - Match 23","24,474,996 views",,,"2:10","154K","12K"
"World Cup 2018 - Tunisia Vs England - Recreated by Kids!!","4,463,169 views",,,"7:43","15K","4.3K"
"Russia v Croatia - 2018 FIFA World Cup Russia™ - Match 59","23,631,793 views",,,"2:10","118K","8.2K"
