video_id,duration
l1grJsHdgzg,NA
Npy4pGSzeLo,10.53
o_0UbLa_78A,12.28
NQDe5dNoNog,9.43
3PrOKyzPNeI,NA
9JCKCpq7-30,10.17
PRSNvadwM4Y,6.07
j8PDTJNaPc0,1.41
G9mDFfERPwM,12.31
jRHXLSNyPHI,10.03
2HYR4Lxyc7Y,8.53
X7Mpp35EAqI,6.41
hwb4ozNE6w0,6.21
NC06iPd3C5U,13.42
7LM4Fmay8rY,19.11
bq-l3_rIGys,10.53
sHFeuBlBUos,NA
iFUFFUb5W4w,9.33
07d2dXHYb94,4.06
9TDgcTtFaNc,1.46
96kI8Mp1uOU,4.19
sdbHXKlpPAM,2.54
0HSYMgf4_h8,1.38
5KXLCkhhWbM,5.58
J3N5HewglNs,3.51
n3sSF098q4Y,1.47
ziIS6NJk_GI,13.29
qqSyecJ0zAQ,33.11
FlSQcGbN_4A,NA
6eFfZUqwkMA,1.52
lE60WbSvulI,10.01
lTxn2BuqyzU,2.57
kXjylzfpDQM,10.06
vmPvjZKBNYY,11.15
E-fbaLE_0Ew,5.35
qLGNj-xrgvY,2.46
ff8OMFBt_3g,4.56
EL733nvX1Pk,31.03
LTneDMPtznc,23.37
qDjksHH9ohg,3.22
SrJk1qmthd4,21.43
kA0Ywk7sQLg,14.22
ihMR-XhZUtU,2.12
CeX-Ul2CHEw,0.49
kNw8V_Fkw28,6.48
Yk_5Z5KcFUk,12.16
IHZOfYX8M0M,3.02
cXmQV2DewbQ,NA
vgsg6RTfTXk,32.02
szquJa-ioZg,29.35
W_B2UZ_ZoxU,3.06
Uk9MHtArsBk,NA
eriO46w9aAo,0.42
kySOnK_hBLY,14.06
qlPkvHKWM5Y,2.58
ny9lhBaaIdY,3.09
pCBP4M08ndE,7.35
mVLrBJYGxk4,5.04
2veSikPKNcY,10.49
3ykaGNl67iI,3.57
b7swSNzCTC0,23.31
hp0rZDsXt1w,12.04
k3hr1W9OFeI,10.04
TktL3QR8Yg8,12.55
BlU49dJhfcw,7.28
aRlVlcsfbS8,5.01
slV71TdCnbU,10.08
F2ZwAUzABZE,10.57
eE2wA8yGcBE,10.46
cLloxSDh_2g,4.26
ND_6TS6p80A,30.1
IxfwFNuhUag,5.15
9c52Z5sMuTQ,2.28
1qLlJi_81Mw,4.15
1qLlJi_81Mw,4.15
aid_6FP62Ys,22.08
5Yoy9W7lVFM,10.03
