video_id,Comments
p8scg41xVzY,A wonderful video Mike my dear friend   Animals are the best!  Cute pets 
p8scg41xVzY,Thank you for sharing! Big thumbs up 
p8scg41xVzY,"Have a nice day.Hugs, Jenny "
p8scg41xVzY,"Miss Sophie Dossi , you are a vintage sensation of the paramount order and for me the winner . No one in the show is close to you . Love you little lady ."
p8scg41xVzY,Your intro kills me!  
p8scg41xVzY,The Yorky that  chases Ant is my favorite.  I still watch it over and over again.
p8scg41xVzY,Hahaha david alwats put a smile in my face
p8scg41xVzY,very cool mike and fun to watch...keep it up and miss seeing you over on my channel..its been awhile!! have a wonderful tue evening!!
p8scg41xVzY,"I enjoy the videos that you put together, they are always enjoyable!  I noticed that the ""please subscibe""  you left the 'R"" out.  It flashed on at the end of the video the please subscribe that I saw that lacked the r, just a FYI."
p8scg41xVzY,This two are awesome adorable beautiful lovely
p8scg41xVzY,"Wow, that's really Amazing. Fantastic. "
p8scg41xVzY,You’ve got yourself a subscriber!!  Now you need to make a part two!! 
p8scg41xVzY,"Hey, Mike,"
p8scg41xVzY,"I don't know how I missed this one. Thank you for another great collection, honey."
p8scg41xVzY,God's grace be with you .
p8scg41xVzY,"Hugs,"
p8scg41xVzY,After that new subscriber  absolutely loved it. REMEMBER ADOPT DON'T SHOP END PUPPY MILLS
p8scg41xVzY,Nice 
p8scg41xVzY,loved it all 
p8scg41xVzY,Such a Fun video!!! I really enjoyed it so much!
p8scg41xVzY,"You have an excellent combination of entertainment here. Your video editing skills are outstanding! I am also, a huge fan of Jenny also, she is talented and very kind!"
p8scg41xVzY,Thank you for sharing your works!!
p8scg41xVzY, Happy child
p8scg41xVzY,awesoem video--thumbs UP!!!
p8scg41xVzY, is great!
p8scg41xVzY,Wow 
p8scg41xVzY,Really amazing
p8scg41xVzY,i love simon love thailand
p8scg41xVzY,amazing
p8scg41xVzY,Very nice video 
S7ssrGfEcZk,NA
fBZcZuImlDw,This people will stay in the heaven forever and ever
fBZcZuImlDw,I'm a kid and I would spend all of my pocket money for this.          Every like is a pound for this thingymajige
fBZcZuImlDw,"All the dislikes are people who were crying so hard, they couldn’t see what they pressed."
fBZcZuImlDw,the dislikes are for the terrible people that did this  to the dog
fBZcZuImlDw,People like u make earth a better place???
fBZcZuImlDw,This indian channel is 1000000times better than T-Series
fBZcZuImlDw,I don’t knw why people dislike videos
fBZcZuImlDw,That thumbnail is disturbing at least i know she’s ok
fBZcZuImlDw,He remembered his owner even after through these times 2:11
fBZcZuImlDw,Guys! Look close to the dog eyes at 1:27... He/she was crying! I was sad when I realized! T^T
fBZcZuImlDw,Edit: OMG! 1:58!! The mom rlly just say thank you by her own! I- I! It's so CuTE!
fBZcZuImlDw,Mr beast has loads of money he helped more trees 
fBZcZuImlDw,Now the animals
fBZcZuImlDw,I showed my mom this video. She started crying and we got a new dog. He’s my best friend
fBZcZuImlDw,This made me cry straight away when I saw it
fBZcZuImlDw,I'm in love with animals this made me feel so sad???
