video_id,comment,
3TJP5a3pBME,"thank you popsugar fitness, I love this! I never thought I would say this, but the toning sections here are AWESOME! and the cardio is lit, like always. please do more! and bring this trainer back please!",
3TJP5a3pBME,"Loved the workout, I sweat buckets!  Just one thing: please refrain from using negative phrases like ""I know you are tired"" ""I am tired too"" ""Are you tired yet?""..i felt like my energy levels dropped every time I heard the trainer say it. And my mind gave up before my body did. Otherwise, the workout was great and sweaty!",
3TJP5a3pBME,Do not overestimate the 20 minutes! They are so so worth it! Bring her back for 30 and 45 minute workout please!,
3TJP5a3pBME,Phew - feeling the impact Ladies! Good job! ????,
3TJP5a3pBME,"This was the worst popsugar fitnessworkout ever. The exercises perfect, execution poorest. Why did she not say we will do 11 exercises, a minute each, no break. What is up with this : just a bit more, just a bit more , almost done, 20 more seconds, almost done, ugh so tired. Just put a timer and define clearly the workout. The workout energy was just not there in this one. Also putting 5 ads one after another, that last 5 mins each, I always watch them at the end of the video but why interrupt the flow ? I had to get out of the plank to skip an ad, to have another double add immediately after that I could not skip.",
3TJP5a3pBME,This made me sweat like I didn’t think it would but somehow i felt frustrated throughout..perhaps a little dull.,
3TJP5a3pBME,Amazing full body work!!!! Lovin' this burn!,
3TJP5a3pBME,Have a blessed day everyone!,
3TJP5a3pBME,"I love this workout! Very easy exercises, I really liked that you also included the ""modified"" versions! Definitely gonna subscribe <33",
3TJP5a3pBME,oh my god i love this vedio i love you girls thank you soooooomuch i gonna watch all your vidios i like that,
3TJP5a3pBME,How would you classify this for people who keep track on a fitness diary and calorie? Under what name could I register this for example on MyFitnessPal?,
3TJP5a3pBME,"Great workout!  High intensity but easy to stay on track.  I feel awesome!  Thank you, PS!",
3TJP5a3pBME,This has become one of my favorite PopSugar Workouts. Have done this one repeatedly!,
3TJP5a3pBME,"To be honest, I didn't like this video that much. I think the time for each exercice was too long for me. I prefer when we do 2 or more circuit so I am not bored as much! But I have sweat a lot so that's good!",
3TJP5a3pBME,"Exercícios de força ,mt bom!!!",
3TJP5a3pBME,THANK YOU! Kicked my butt!,
3TJP5a3pBME,That was so hard and yet so amazing! ??,
3TJP5a3pBME,"Wow this was harder than I was expecting, but so good!! Thanks!",
3TJP5a3pBME,Big fan of the Victoria sport workouts! Hope your well Anna!!!!,
3TJP5a3pBME,Excellent full body workout! I was sweating buckets! Whew!,
3TJP5a3pBME,Can’t feel my legs! But i’ll thank myself later?,
3TJP5a3pBME,That was tough...thank you!???,
3TJP5a3pBME,Ok this is dumb that break in between the circuits was like 10 seconds,
3TJP5a3pBME,Wow! Thant was a killer! Thank you!)),
3TJP5a3pBME,Take a look at those product it'll help with your workout!!,
3TJP5a3pBME,"The ""Hidden Survival Muscle"" In Your Body Missed ByModern Physicians That Keep Millions Of Men And WomenDefeated By Pain, Frustrated With Belly Fat, And StrugglingTo Feel Energized Every Day…",
3TJP5a3pBME,This workout is a killer! Awesome job!!,
3TJP5a3pBME,This is the only workout i do thank you so much this help me so much,
3TJP5a3pBME,"I was surprised by this workout I can normally do some pretty vigorous HIIT circuits, but this was simple yet so effective SWEATING BUCKETS.",
3TJP5a3pBME,Hi everyone started watching the workout then I had to do it loved it thank you looks more like this please xxx,
3TJP5a3pBME,amazing workout!,
3TJP5a3pBME,Whoa baby!!!!!  Awesome workout ?,
3TJP5a3pBME,"This was fun! I was sweating like crazy, but I enjoyed it",
3TJP5a3pBME,Thank you ? ?,
3TJP5a3pBME,Great but I miss Anna,
3TJP5a3pBME,This work out kicked my butt lol,
3TJP5a3pBME,"This is a very effective workout, I love it!!  Does Victoria's Sport have anything to do with how the Victoria's Secret models train?",
3TJP5a3pBME,hi i just did the entire workout and im dead now lol,
3TJP5a3pBME,thank you!,
3TJP5a3pBME,Literally watching this video while I’m eating junk food in bed,
3TJP5a3pBME,Omg that was tough. I really like Lindsay. Hope she’ll be doing more videos in the future!,
3TJP5a3pBME,"Another winner for POPSUGAR: Everything's going OK and then it hits you: This is hardcore and I can do it! :D Love the workout clothes... wish there was more distracting banter, though! Hehehe",
3TJP5a3pBME,"Thank you, Beautiful ladies!!!!",
3TJP5a3pBME,This chick is crazy. My legs are dead ?,
3TJP5a3pBME,Omg this work out killing me???????,
3TJP5a3pBME,Great workout! Loved that I could still feel the burn by doing the modifications!,
3TJP5a3pBME,Thank you,
3TJP5a3pBME,Killer workout! Love it!!,
3TJP5a3pBME,"Great workout, so hard! Thanks PopSugar!",
3TJP5a3pBME,"hallo sport ist gut mache  es zuhause ,in deutschland  (mannheim),bodycrossworkout.",
3TJP5a3pBME,Deceptively challenging...love that aspect.  Thanks!,
3TJP5a3pBME,It is so difficult '-',
3TJP5a3pBME,"This workout is soooo productive for 20 minutes!! My heart rate went up so high. Thanks, Popsugar <3 <3",
3TJP5a3pBME,@,
3TJP5a3pBME,like chaîne,
3TJP5a3pBME,Thanks a lot popsuger fitness team ???,
3TJP5a3pBME,?????????,
3TJP5a3pBME,Great job and thanks ? ???,
3TJP5a3pBME,???? ????,
3TJP5a3pBME,"Literally pouring with sweat ! Amazing work-out. Although @popsugarfitness just to mention one thing that kinda pull me back at times. My effort is definitely linked to my mental, especially when i'm out of breath and close from just giving-up. And when i hear from the trainer (Victoria) things like ""my legs are dying"" or other kinda stuff, i'll tend to just stop (which is no good i know), on the contrary, when i hear more encouraging words like ""hang-in there"", ""almost done"", i'll just give all i got. Anyway my point is, during work-out, maybe tend to keep it positive and encouraging, also in the words you say, cause they can make a difference. Anyway keep-up the good work! Cheers",
3TJP5a3pBME,Workout I love it,
3TJP5a3pBME,when is the new cut workout coming out with Christa? I can't wait for it!! :) ,
lTI_B9ez-J8,"Club der Menschen, die absolut kein Interesse daran haben, je Sport zu studieren und trotzdem solche Dokus lieben ???",
lTI_B9ez-J8,Physik noch mitschreiben um den Schnitt für die ex Kommilitonen zu drücken - Ehrenmann!,
lTI_B9ez-J8,Ich habe  tiefsten Respekt vor Asghar. Seine Leistungen und sein Wille sind absolut bewundernswert. Was für ein beeindruckender Mann.,
lTI_B9ez-J8,Durchfallquote 50%?,
lTI_B9ez-J8,Beim Schwimmen stell ich mir das unappetitlich vor.,
lTI_B9ez-J8,Ich hoffe Asghar schafft es nächstes Jahr. Ein sehr sympathischer Mensch.,
lTI_B9ez-J8,Die wirken teilweise so unvorbereitet. Als angehender Sport Student keinen handstand Abrollen können?,
lTI_B9ez-J8,"Schade finde ich es schon, dass der Ringer raus ist. Hoffe er versucht es nochmal und übt seine Schwimmtechnik bis dahin schön fleißig. Respekt, dass er für den Test schwimmen gelernt hat, hat nur leider noch nicht gereicht. Ich fand seinen Prüfer aber nett, der hat ihn noch aufgemuntert, dass das jeder lernen kann.",
lTI_B9ez-J8,Könnt ihr mal den Eignungstest an einer Kunsthochschule dokumentieren? Anforderungen an die Mappe und deren Beurteilung etc.,
lTI_B9ez-J8,"Warum wird der Körperbau nicht mit in die Bewertung eingeschlossen? Ist doch klar, dass man als Ringer nicht für Sprints gebaut ist, dafür hat der Asghar andere Stärken. Ringen ist im Iran Nationalsport und falls er wirklich mal Jugendweltmeister gewesen ist, könnte man seine Fähigkeiten an einer Sporthochschule schon gebrauchen, finde ich. ",
lTI_B9ez-J8,Hero of the day: Asghar.,
lTI_B9ez-J8,Ist Asghar eigentlich Ringer und aus dem Iran? Ich finde man hätte es NOCH ÖFTER sagen können,
lTI_B9ez-J8,"Hach, ich liebe diese jährlichen Sport-Eignungstests-Dokus ?",
lTI_B9ez-J8,"Die Turndozentin ist sehr nett, bei ihr würde ich mich viel wohler fühlen wenn ich vorturnen müsste",
lTI_B9ez-J8,"Ganz schwaches Niveau teilweise, wenn das der große Traum von manchen ist sollte die Vorbereitung das A & O sein.",
lTI_B9ez-J8,"Ich studiere auch an der Sporthochschule und darum hier nochmal ein paar Sachen zum Eignungstest und dem Studium im Gesamten. Ich lese hier nämlich relativ viel Bullshit :D            1. die Bretter sind extrem weich und es fühlt sich einfach so an, als wenn man auf einem Trampolin springt. Ich bin mir sicher, dass der junge Mann im Video vorher einen einigermaßen akzeptablen Kopfsprung machen  konnte. Ich gehe jede Wette ein, dass es das Brett war, was ihm den Sprung versaut hat. Dadurch, dass es so weich ist braucht man einfach viel Körperspannung und Beherrschung, die bei ihm leider nicht vorhanden war.                                                             2. Da sich hier viele beschweren, dass der Ringer durchgefallen ist. Es gibt Kriterien wie dieser Test abzulaufen hat. Und es ist von vornherein klar, dass man bei einem 2. Defizit raus ist. Da spielt es absolut keine Rolle wie gut derjenige in einer Sportart ist, oder wann er sich das Schwimmen beigebracht hat. Diese Regeln sind von Anfang an klar, und dann brauch man sich auch nicht wundern, wenn man dann doch plötzlich raus ist. Der Test ist schließlich dafür bekannt, dass dort 50% durchfallen. Die Quote wäre viel niedriger, wenn die Prüfer immer ein Auge zudrücken würden, denn der Ringer war sicherlich kein Einzelfall. Das werden die häufig zu sehen bekommen solche Situationen.                                                       3. Es gibt 5 Bachelorstudiengänge und den Lehramtstudiengang an der Sporthochschule. Und ja, auch mit einem Sportwissenschaftsstudium kann man was werden. Und das mag für den einen oder anderen unvorstellbar sein, aber es gibt genug Bereiche in der Gesellschaft, wo einfach Sportwissenschaftler gebraucht werden. Sei es z.B im Gesundheitsbereich oder im Managementbereich, man wird was finden. Ob der Job letztendlich gut bezahlt wird und wo man landet, liegt bei jedem selbst in der Hand.        Also macht euch ein eigenes Bild vom Test und nehmt provisorisch dran teil. Ich bin mir sicher, dass viele den Test unterschätzen. Und jeder darf doch das studieren was man möchte. Und somit sollte niemand verurteilt werden, nur weil man sportbegeistert ist.",
lTI_B9ez-J8,Die Kopfsprünge am Anfang sind ja der Hammer. ?,
lTI_B9ez-J8,Soll aber anscheinend ein besonderes Sprungbrett sein.,
lTI_B9ez-J8,Meine Sportlehrer waren alle immer Übergewichtig.,
lTI_B9ez-J8,Eigentlich ist Deutschland auf diesen Ringer angewiesen...falls seine Kridenzien überhaupt stimmen. Er kann einfach sich bei einem Ringverein telefonisch melden und dann wäre er sofort Trainer. Wir sind weltweit im Ringen das absolut Letzte...,
lTI_B9ez-J8,"Ich bin nun wirklich kein guter Schwimmer aber wenn das mein Traum ist und ich doch weiß, was auf mich zu kommt, dann trainiert man doch wohl mal diesen Kopfsprung, vor allem wenn man weiß dann man es nicht beherrscht, oder?",
lTI_B9ez-J8,"Habe richtig mit Ashgar mitgefiebert schade.... Bin mir aber sicher, dass er es nächstes Jahr schafft",
