video_id,comments
sRyslbdtT90,"What's up Vagabonds!  Hope you enjoy our video and if you're not already subscribed, hit that subscribe button so you don't miss out on any future uploads.  Please share other topics you'd like us to make videos about.  Stay curious and keep exploring!"
sRyslbdtT90,If only flights weren’t so expensive
sRyslbdtT90,Girlfriend: OMG lets go Cape town then Mexico then rome OMG then we will GO SEE THE ZOO THEN WE WILL BE-
sRyslbdtT90,"Me: Broke , we will be broke"
sRyslbdtT90,Its cheap when you get there but what about flying is that cheap ?????
sRyslbdtT90,"""Beer cheaper than water... Literally"""
sRyslbdtT90,Im glad even travelers noticed that lol Thats my silly country.
sRyslbdtT90,"Montreal isn't the capital of Quebec, it's Quebec City"
sRyslbdtT90,Cape Town 
sRyslbdtT90,Vietnam 
sRyslbdtT90,Ecuador
sRyslbdtT90,Poland
sRyslbdtT90,When he said “I’m Marco” I instinctively said “and I’m polo”
sRyslbdtT90,I love how they showed Pictures of the Seychelles twice when talking about beaches in other countries
sRyslbdtT90,Guys I don’t hear you mention Turkey! It’s bloody cheap!!!
sRyslbdtT90,Cape Town is the most expensive holiday destination in SA ?????
sRyslbdtT90,"12:29 This is the Peles Castle. This castle is in Romania, not in Bulgaria !"
sRyslbdtT90,"12:29 that is Peles Castle in Sinaia, Romania. not Bulgaria :)"
sRyslbdtT90,At 2:18 you mention Krakow but show a photo of Gdansk
sRyslbdtT90,10:57:00 AM
sRyslbdtT90,"That's not Sarajevo, it's Mostar..."
sRyslbdtT90,would you recommend living out of a van
sRyslbdtT90,This is one of the most hyper privileged things I’ve ever watched. Excuse me while I finish this Arby’s
sRyslbdtT90,"All very good ideas, but just one question: what is the Pele? Castel doing in Bulgaria?? ?????  ??"
sRyslbdtT90,"""Portugal, The capital Lisbon..."" first picture shown is of another city - OPorto LOL"
sRyslbdtT90,"Hey from Greece! Cheap island options and not tourist-packed are: Serifos, Naxos, Paxoi, Antiparos and Milos :D"
sRyslbdtT90,Go to Switzerland stay for a week and you'll be broke.
sRyslbdtT90,"12:29 that’s Peles castle in Romania,not in Bulgaria"
sRyslbdtT90,"You guys forget about peru. , safe and very low prices"
sRyslbdtT90,"12:29 the castle shown is in Romania (and is called Peles), not Bulgaria"
sRyslbdtT90,"I came to the Philippines, to visit, and never left!haha"
sRyslbdtT90,"Don't know about the accuracy of other information, but I'm Croatian so I can confirm that Croatia isn't cheap, especially when it comes to the capital and Dalmatia during summer. The picture you used for Albania is actually the picture of ''the sunniest island in Croatia'' - Hvar. Also, for Sarajevo you used the picture of the Old Bridge in Mostar."
sRyslbdtT90,Cape Town may be far away ?
sRyslbdtT90,I god damn live here
sRyslbdtT90,"And let me tell you, it ain't cheap."
sRyslbdtT90,"Sri Lanka was bombed on Easter Sunday, (3 churches 3 hotels over 300 dead.) Going in July"
sRyslbdtT90,"Basically, EVERYTHING!!!"
sRyslbdtT90,"He said that the best part of Greece to visit are the islands. WRONG!!! I am from Greece, and I will tell you for sure, do not go to one of the popular islands (Santorini, Mykonos, etc.), or to the very popular locations in Athens. They are just super-touristy and crazy-expensive. Go to other places in Greece, there's just so many underrated places in Greece, and the Aegean Islands, while they are very beautiful, are way too overrated. Go to places where you will find REAL Greeks, and REAL Greek culture, and not cheap versions of it sold at a very high price, for ignorant tourists. For example, go to the Ionian islands, Epirus, the many beautiful cities of the Peloponnese, and the ancient sites all over the country, in places such as Delphi, the region of Macedonia, Sparta, and more..."
sRyslbdtT90,5:08 - Sri Lanka
sRyslbdtT90,13:25 - Bali
sRyslbdtT90,SAME PICTURE ?
sRyslbdtT90,"Mykonos killed my bank account, whaaaat!! other than that, loved the video!x"
sRyslbdtT90,"Loved the video!! My daughter was in Lisbon for her post doc and I was blessed to go there twice the year she was there, it was AMAZING!!! I absolutely loved it, we put on approximately 10 miles a day on my poor feet but I would do it again and again. Can’t say enough about it!!"
sRyslbdtT90,Thank you for all the great tips!!
sRyslbdtT90,the way cape town is first but it’s the most expensive in SA????
sRyslbdtT90,you should visit goa in india. it has incredible beaches and one of the most beautiful waterfalls in india. and surely you should visit kasol.
