"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"AP0eFzfemBY",2020-03-16,"UCTFFPzHv1VZiVww1siqJi9Q","tones and i dance monkey lyrics","Tones and I - Dance Monkey (Lyrics) Listen Dance Monkey : https://open.spotify.com/album/5i6CS5XcLZGLgaNCKlJvc2 Download Dance Monkey Tones and I: ...","https://i.ytimg.com/vi/AP0eFzfemBY/default.jpg","120","90","https://i.ytimg.com/vi/AP0eFzfemBY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AP0eFzfemBY/hqdefault.jpg","480","360","Popular Music","none",271472,6109,258,0,223,3,2020
"4r_M0Cp8JSQ",2020-03-14,"UCNqFDjYTexJDET3rPDrmJKg","tones and i dance monkey lyrics","Tones and I - Dance Monkey (Lyrics) Tones and I - Dance Monkey Dance Monkey Lyrics I see you see you see you every time Limi - Mona Lisa (Lyrics) ...","https://i.ytimg.com/vi/4r_M0Cp8JSQ/default.jpg","120","90","https://i.ytimg.com/vi/4r_M0Cp8JSQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4r_M0Cp8JSQ/hqdefault.jpg","480","360","7clouds","none",3834457,44805,2289,0,1492,3,2020
"6wCtPIF0B1o",2020-03-15,"UCbh6341LBgItNp-U5v_f5mw","ritmo the black eyed peas j balvin kids street dance sabrina lonis choreo","RITMO - The Black Eyed Peas, J Balvin | Kids Street Dance | Sabrina Lonis Choreo <U+25BB><U+25BB> SUBSCRIBE: http://goo.gl/dvfLW8 <U+25BB><U+25BB> INSTAGRAM ...","https://i.ytimg.com/vi/6wCtPIF0B1o/default.jpg","120","90","https://i.ytimg.com/vi/6wCtPIF0B1o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6wCtPIF0B1o/hqdefault.jpg","480","360","Sabrina Lonis","none",59453,3170,43,0,182,3,2020
"ejY45gvbjzY",2020-03-15,"UCPbUTEjdU04ChIZfi53jczw","goa beach dance cover neha kakkar tony kakkar deepak tulsyan choreography g m dance","Hey Guys, check out Tony Kakkar New track Goa Beach on Desi Music factory Youtube Channel: https://youtu.be/n5WnMJ0J6qA Follow us on Instagram: ...","https://i.ytimg.com/vi/ejY45gvbjzY/default.jpg","120","90","https://i.ytimg.com/vi/ejY45gvbjzY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ejY45gvbjzY/hqdefault.jpg","480","360","G M Dance Centre","none",679528,17375,614,0,803,3,2020
"IqpjIxzvUwk",2020-03-16,"UCfSVMX8vs7xA_hqFcuFqgwQ","new deaths dance can be build on tanks now rammus literally just heals from damage he takes ahaha","Death's Dance was changed for League of Legends patch 10.6 to give MR and Armor, by building this in combination with Thornmail and a Hextech gunblade ...","https://i.ytimg.com/vi/IqpjIxzvUwk/default.jpg","120","90","https://i.ytimg.com/vi/IqpjIxzvUwk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/IqpjIxzvUwk/hqdefault.jpg","480","360","RossBoomsocks","none",11624,1445,16,0,150,3,2020
"Tm94Ji-a5ss",2020-03-16,"UCo3SoV1pJPQPJSDVKdurksA","<U+266B> dance monkey tones and i paródia","Me siga Instagram: @mamutecongeladoo (https://www.instagram.com/mamutecongeladoo/ <U+25BB>MEU SEGUNDO CANAL: ...","https://i.ytimg.com/vi/Tm94Ji-a5ss/default.jpg","120","90","https://i.ytimg.com/vi/Tm94Ji-a5ss/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Tm94Ji-a5ss/hqdefault.jpg","480","360","Mamute Congelado","none",121812,22506,1011,0,1428,3,2020
"hEsofW-h6zA",2019-01-04,"UCcG6zooS9BlSgiT0_ICuD0A","best dances of 2018","All of my most popular dances of 2018!! <U+25B7> SUBSCRIBE: hhttp://bit.ly/2BCw1pe <U+25B7> INSTAGRAM: http://instagram.com/MattSteffanina Never miss a video!","https://i.ytimg.com/vi/hEsofW-h6zA/default.jpg","120","90","https://i.ytimg.com/vi/hEsofW-h6zA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/hEsofW-h6zA/hqdefault.jpg","480","360","MattSteffanina 2","none",21960933,310010,6415,0,6444,1,2019
"3pKjmOy1rWg",2020-03-12,"UCxH0sQJKG6Aq9-vFIPnDZ2A","tones and i dance monkey lyrics","Tones and I - Dance Monkey (Lyrics) Tones and I - Dance Monkey Dance Monkey Lyrics I see you see you see you every time For more quality music subscribe ...","https://i.ytimg.com/vi/3pKjmOy1rWg/default.jpg","120","90","https://i.ytimg.com/vi/3pKjmOy1rWg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3pKjmOy1rWg/hqdefault.jpg","480","360","The Vibe Guide","none",2626082,31537,1522,0,979,3,2020
"i1VDS1yV7MY",2020-02-27,"UCxH0sQJKG6Aq9-vFIPnDZ2A","tones and i dance monkey lyrics","Tones and I - Dance Monkey (Lyrics) Tones and I - Dance Monkey Dance Monkey Lyrics I see you see you see you every time For more quality music subscribe ...","https://i.ytimg.com/vi/i1VDS1yV7MY/default.jpg","120","90","https://i.ytimg.com/vi/i1VDS1yV7MY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/i1VDS1yV7MY/hqdefault.jpg","480","360","The Vibe Guide","none",3987271,36004,1864,0,1024,2,2020
"anAdklPd42U",2020-02-07,"UCxH0sQJKG6Aq9-vFIPnDZ2A","tones and i dance monkey lyrics","Dance Monkey Lyrics I see you see you see you every time For more quality music subscribe here <U+27A1> http://bit.ly/sub2thvbgd We're on Spotify ...","https://i.ytimg.com/vi/anAdklPd42U/default.jpg","120","90","https://i.ytimg.com/vi/anAdklPd42U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/anAdklPd42U/hqdefault.jpg","480","360","The Vibe Guide","none",12598381,131719,6604,0,4779,2,2020
"UT19ht0PYMo",2020-03-16,"UCFEpFpv82DGownPexhrpkZg","new over it dance challenge tiktok compilation 2020","Glow Up LED Light Strip : https://bit.ly/38O9oyj Use Promo Code : TIKTOK98 ------------------------------------------------------------------------ TikTok Setup : iPhone Tripod ...","https://i.ytimg.com/vi/UT19ht0PYMo/default.jpg","120","90","https://i.ytimg.com/vi/UT19ht0PYMo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/UT19ht0PYMo/hqdefault.jpg","480","360","Best TikTok Compilations","none",17428,698,16,0,44,3,2020
"EoTsLtHoJRM",2020-01-17,"UC0G3ShKXy9CnfgyinX89kIg","dance workout justin bieber yummy mylee cardio dance workout dance fitness","MYLEE's Cardio Dance Workout, Dance Fitness Song : Justin Bieber - Yummy Choreography by MYLEE <U+25B7> SUBSCRIBE : http://bitly.kr/8fMxtO <U+25B7> INSTAGRAM ...","https://i.ytimg.com/vi/EoTsLtHoJRM/default.jpg","120","90","https://i.ytimg.com/vi/EoTsLtHoJRM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EoTsLtHoJRM/hqdefault.jpg","480","360","MYLEE Dance","none",8136514,195336,3834,0,2228,1,2020
"wzHVu3IsLaU",2020-03-09,"UCNqFDjYTexJDET3rPDrmJKg","tones and i dance monkey lyrics","Tones and I - Dance Monkey (Lyrics) Tones and I - Dance Monkey Dance Monkey Lyrics I see you see you see you every time Tones and I - Dance Monkey ...","https://i.ytimg.com/vi/wzHVu3IsLaU/default.jpg","120","90","https://i.ytimg.com/vi/wzHVu3IsLaU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/wzHVu3IsLaU/hqdefault.jpg","480","360","7clouds","none",5034756,51072,2766,0,2153,3,2020
"GvGpjkwsIdg",2020-03-02,"UCl7cVzHngS0kg51TPrDbqlg","tones and i dance monkey lyrics","Tones And I - Dance Monkey (Lyrics) Stream Dance Monkey here: https://tonesandi.lnk.to/TheKidsAreComing Tones and I https://www.tonesandi.com ...","https://i.ytimg.com/vi/GvGpjkwsIdg/default.jpg","120","90","https://i.ytimg.com/vi/GvGpjkwsIdg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/GvGpjkwsIdg/hqdefault.jpg","480","360","Shadow Music","none",3270144,35968,1607,0,1564,3,2020
"jX57LRRKOKk",2020-03-16,"UCpEhnqL0y41EpW2TvWAHD7Q","the best grand premier dance india 39 s best dancer sat sun at 8 pm promo","Click here to Subscribe to SET India: https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q?sub_confirmation=1 Stay tuned as India's Best ...","https://i.ytimg.com/vi/jX57LRRKOKk/default.jpg","120","90","https://i.ytimg.com/vi/jX57LRRKOKk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jX57LRRKOKk/hqdefault.jpg","480","360","SET India","none",55646,757,32,0,25,3,2020
"xEH_5T9jMVU",2020-01-15,"UCRnYkR0GEhWLcnHIZ4obANg","dance monkey tones and i choreography by desireé leucci dance energy studio","WB http://www.dance-energy.de • YT http://youtube.com/tzDanceEnergy • FB http://facebook.com/tzDanceEnergy • IG http://instagram.com/dance.en ...","https://i.ytimg.com/vi/xEH_5T9jMVU/default.jpg","120","90","https://i.ytimg.com/vi/xEH_5T9jMVU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xEH_5T9jMVU/hqdefault.jpg","480","360","DANCE ENERGY dance studio","none",4902744,88091,2692,0,501,1,2020
"5yvKJdbzpoc",2020-02-29,"UCNqFDjYTexJDET3rPDrmJKg","tones and i dance monkey lyrics","Tones and I - Dance Monkey (Lyrics) Tones and I - Dance Monkey Dance Monkey Lyrics I see you see you see you every time Tones and I - Dance Monkey ...","https://i.ytimg.com/vi/5yvKJdbzpoc/default.jpg","120","90","https://i.ytimg.com/vi/5yvKJdbzpoc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5yvKJdbzpoc/hqdefault.jpg","480","360","7clouds","none",13416132,122687,6492,0,3616,2,2020
"JcjjiwzxUJI",2020-01-23,"UCw8ZhLPdQ0u_Y-TLKd61hGA","tones and i dance monkey 1million kids","Song / TONES AND I - DANCE MONKEY <U+D0A4><U+C988><U+D074><U+B798><U+C2A4> <U+C2E0><U+CCAD><U+C740> <U+C544><U+B798> <U+B9C1><U+D06C><U+B97C> <U+D074><U+B9AD><U+D558><U+C138><U+C694> Click the link below If you want to apply for Kids Class https://bit.ly/2Eq1ePN ...","https://i.ytimg.com/vi/JcjjiwzxUJI/default.jpg","120","90","https://i.ytimg.com/vi/JcjjiwzxUJI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JcjjiwzxUJI/hqdefault.jpg","480","360","1MILLION Dance Studio","none",6531956,195928,5056,0,2576,1,2020
"SrVV73gTBpk",2019-11-14,"UCw8ZhLPdQ0u_Y-TLKd61hGA","tones and i dance monkey lia kim choreography","Choreographer : Lia Kim Song : TONES AND I - DANCE MONKEY This video includes sponsored content. 1MILLION Dance Studio ...","https://i.ytimg.com/vi/SrVV73gTBpk/default.jpg","120","90","https://i.ytimg.com/vi/SrVV73gTBpk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SrVV73gTBpk/hqdefault.jpg","480","360","1MILLION Dance Studio","none",19171076,579584,10979,0,3367,11,2019
"-FvEGD30DKY",2018-07-01,"UCbh6341LBgItNp-U5v_f5mw","cardi b – i like it street dance choreography sabrina lonis","CARDI B – I LIKE IT | Street Dance Choreography Sabrina Lonis <U+25BB><U+25BB> SUBSCRIBE: http://goo.gl/dvfLW8 <U+25BB><U+25BB> INSTAGRAM ...","https://i.ytimg.com/vi/-FvEGD30DKY/default.jpg","120","90","https://i.ytimg.com/vi/-FvEGD30DKY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-FvEGD30DKY/hqdefault.jpg","480","360","Sabrina Lonis","none",32610302,476946,15514,0,9517,7,2018
"_lgcmYSePGA",2020-01-17,"UCczFdwWpVEpoqb-eMm4c4dQ","the box roddy ricch dance choreography matt steffanina amp josh killacky","Congrats to Roddy Ricch for The Box hitting #1!! Posted a tutorial for this dance for you guys! <U+25B7> SUBSCRIBE: http://bit.ly/2BDpH0v <U+25B7> INSTAGRAM: ...","https://i.ytimg.com/vi/_lgcmYSePGA/default.jpg","120","90","https://i.ytimg.com/vi/_lgcmYSePGA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_lgcmYSePGA/hqdefault.jpg","480","360","Matt Steffanina","none",10016373,259688,4159,0,7021,1,2020
