channel,section,playlist,video,link,time,views,publication date,likes,dislikes,description
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Install #Python 3.8 and #PyCharm on Windows 10,https://youtu.be/AUiM1UaRCPc,12:29,4017, jaan 2020,82,1,"Short video to cover installing Python 3.8, PyCharm IDE onto a #Windows10 system. This video includes how to get places you might get stuck and about some settings should use as a new python learner.Sites referenced  python.org and www.jetbrains.com/pycharm/"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 1 | why study data structures and algorithms,https://youtu.be/HdZHjXfvIEU,9:12,1582, jaan 2015,20,0,"This is the second lecture on the Introduction chapter. I introduce the topic of data structures and algorithms starting with what is computer science.These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 2 | why study data structures and algorithms,https://youtu.be/jDx_BQVd31U,7:55,753, jaan 2015,4,0,"This is the second lecture on the Introduction chapter. I introduce the topic of data structures and algorithms starting with what is computer science. These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1wwThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 3 | Four ways to run python,https://youtu.be/wwmWQVxMNcM,14:57,813, jaan 2015,11,0,"We will be using PyVCharm and the books interactive python in class, but I also wanted to show you the python and idle command line ways, and the iPython Notebook that is all the rage with scientists.These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,"Introduction 4 | atomic types, ops, variables",https://youtu.be/LZKjfdLPs-A,12:36,481, sept 2017,5,0,"We now cover simple expressions involving numbers, booleans, the operators, defining variables and assignment. These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 5 | Start of Lists,https://youtu.be/oETSCRJQEQI,11:00,378, sept 2017,3,0,"Introduction to Lists, operators, working with lists, and slices These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,"Introduction 6 | List methods, add method, & range",https://youtu.be/ikko6QD5tlQ,10:21,326, sept 2017,2,0,"the List methods, __add__, and range These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 7 | Strings,https://youtu.be/pMwvexbEWZc,8:19,182,27. sept 2017,2,0,"String use, operators and methods These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,YouTube,https://www.youtube.com//watch?v=aw4Hn1s3wcM&list=PLtbC5OfOR8aqA6CJwWTRUITgGpUy1Umr3&index=10&t=0s,10:54,,,,,
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 9 | Dictionaries,https://youtu.be/DesHqcT3554,13:16,191, sept 2017,4,0,"Python dictionaries operators and methods These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
