video_id,duration
3fYhojiDuAE,1.59
oJJBzCXjab0,2.56
kcqDk0F_5CQ,3.08
-sFieOUSV9M,0.09
eDoYelskwXU,1.12
rP0JXLam6ak,1.51
uZymfjUtoFc,0.2
IexAAMOSok0,1.34
lxx4G2a4vW8,10.5
8x7Ta89QLo4,4.52
jhqypYMg3pU,2.14
y7PAjgY6FKc,1.16
T-jVdTUGJ3g,3.03
T22hyfZbMao,0.49
Uu7_QilS_AI,1.29
PbzD8u49GIs,10.57
bKnS0WUcbEk,2.31
C4qCvp7h4V4,7.37
Qu5P4Z30uSk,1.46
X7hp5WalcHE,2.31
RKHCuePBfeA,4.14
mgk5gg-HGhY,4.23
_m5gE-9BiW8,1.18
MUxTiBumHvw,2.03
RpLtxvRbW0w,1
65y1cjxBJ7o,1.52
9s6UHo8Uc-4,5.43
xG76OBi8aow,5.24
AmZ6fF88TKU,2.42
7RCXHTlddvg,1.31
U5HJaWCAlyY,2.42
IT3_8PVJmVo,0.25
SojBWoL6qM0,0.2
C4NYEPh1174,1
Ff5qbXITt_M,3.36
hPLmevhVcTM,3.33
XaP3pscCgBo,1.19
1R8KAaQPwcU,1.04
h90DK_o5Ws0,1.19
xBugIZh4lLA,3.22
oV6wfaniqx8,0.07
JA3lZkCw0yo,2.12
nxlVuKVUyPM,0.53
vt61m8eO5GI,3.3
cTya9-s9MYw,1.04
Y0Xd7zNYjPs,9.06
eQJ74wPhf0Q,1.07
iFIVOi92kHk,6.56
5HhX0DYk-R8,2.59
zUN9JShT4l0,1.57
F_7tGSoK134,0.31
MXzvcTn8L5E,0.25
3tSw8wi73L0,3.04
GrX46Zst9JA,1.12
rj2sqacWTvU,3.16
mHVwk0dtq6M,2.34
buLR8wuVXZA,5.55
ArXQPDzv640,0.19
XNpXwm3nF_I,1.02
-cZsSVz0iX8,6.07
N4tSwqEr0Vo,9.4
7CD1IrxRVlE,1.3
4Fl3GGaoj7k,2.11
yNTSiKp2_ms,2.39
KTbbyYIyJEQ,7.52
mdMurDnF9kA,2.24
M-BMpR3Uy-k,6.26
NR3UUv6b9Ac,3.54
LX6Ya9C_60Q,4
J3yMyhp8JzU,9.48
JpV1UGGpqiI,1.37
krsbJLFxtcU,0.27
dyPiUMRo9Ok,10
2u9Qhet7wGE,2.06
f4iFXHSwCEg,1.37
hAu_Nom7-6Y,5.07
D9SKFqQ2B3A,0.42
gwzH9odoeEg,0.26
7R4zLnnLXoA,3.44
PjiFPkSJkL0,2.1
AhP5h4lHh3w,3.18
K2eBLJayRas,3.22
ArrNEw9i1dw,3.58
9qIzZhGLn1o,3.08
6t4MWCTEHmI,3.45
idyCw9ZznqY,3.55
