video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,month,year,duration
RXFilHLLqPM,2019-12-29,UCja7QUMRG9AD8X2F_vXFb9A,love you mama official music video the royalty family,"LOVE YOU MAMA (OFFICIAL MUSIC VIDEO) Ferran Dedicated This Song To His Mom Andrea. Please Like, Share & Subscribe! ENJOY!!! SUBSCRIBE <U+157C>E<U+1587>E ...",https://i.ytimg.com/vi/RXFilHLLqPM/default.jpg,120,90,https://i.ytimg.com/vi/RXFilHLLqPM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RXFilHLLqPM/hqdefault.jpg,480,360,The Royalty Family,none,8962360,416907,18239,0,NA,12,2019,4.56
Dx5qFachd3A,2019-01-15,UCJhjE7wbdYAae1G25m0tHAA,relaxing jazz piano radio slow jazz music 24 7 live stream music for work amp study,Please Subscribe! https://www.youtube.com/user/cafemusicbgmchannel Music For Business<U+300C>Cafe Music BGM Station<U+300D> English: https://bgm-station.com/en/ ...,https://i.ytimg.com/vi/Dx5qFachd3A/default_live.jpg,120,90,https://i.ytimg.com/vi/Dx5qFachd3A/mqdefault_live.jpg,320,180,https://i.ytimg.com/vi/Dx5qFachd3A/hqdefault_live.jpg,480,360,Cafe Music BGM channel,live,10916945,56101,1647,0,0,1,2019,NaN
VIWVfkF2IeI,2019-11-12,UChs0pSaEoNLV4mevBFGaoKA,the good life radio • 24 7 live radio best relax house chillout study running gym happy music,"The Good Life is live streaming the best of Deep & Tropical House, Chill & Relax House Music, EDM, Dance & Pop as well as Music for Sleep, Focus, Study, ...",https://i.ytimg.com/vi/VIWVfkF2IeI/default_live.jpg,120,90,https://i.ytimg.com/vi/VIWVfkF2IeI/mqdefault_live.jpg,320,180,https://i.ytimg.com/vi/VIWVfkF2IeI/hqdefault_live.jpg,480,360,The Good Life Radio x Sensual Musique,live,10517708,63562,2682,0,0,11,2019,NaN
kGKkUN50R0c,2019-04-18,UC0f4WJAjYdwl4XYHz-6FhyQ,best radio 1 • live radio pop music 2019 39 best english songs of all time amp new popular songs 2020,Best Radio 1 • Live Radio Pop Music 2019' Best English Songs Of All Time & New Popular Songs 2020 Other live streams please check them out and don't ...,https://i.ytimg.com/vi/kGKkUN50R0c/default_live.jpg,120,90,https://i.ytimg.com/vi/kGKkUN50R0c/mqdefault_live.jpg,320,180,https://i.ytimg.com/vi/kGKkUN50R0c/hqdefault_live.jpg,480,360,Live Music Radio,live,7925486,43725,2538,0,0,4,2019,NaN
6BSfBEAAWEc,2019-11-22,UC1hkAIJnb2CSmm7SPJaPR-A,minecraft skeleton rap quot i 39 ve got a bone quot dan bull animated music video,Creeper Rap. Enderman Rap. Zombie Pigman Rap. Skeleton Rap. <U+25BB> More Minecraft songs here: ...,https://i.ytimg.com/vi/6BSfBEAAWEc/default.jpg,120,90,https://i.ytimg.com/vi/6BSfBEAAWEc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6BSfBEAAWEc/hqdefault.jpg,480,360,Dan Bull,none,9834004,117493,3974,0,6961,11,2019,NaN
o71ggIZ1CAk,2019-12-05,UCl7cVzHngS0kg51TPrDbqlg,trevor daniel falling lyrics,"Trevor Daniel - Falling (Lyrics) // come closer, i'll give you all my love (Lyrics) Listen to Falling (Lyric) by Trevor Daniel: ...",https://i.ytimg.com/vi/o71ggIZ1CAk/default.jpg,120,90,https://i.ytimg.com/vi/o71ggIZ1CAk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/o71ggIZ1CAk/hqdefault.jpg,480,360,Shadow Music,none,32508471,573541,7726,0,12911,12,2019,NaN
DSGyEsJ17cI,2019-01-15,UCJhjE7wbdYAae1G25m0tHAA,relaxing jazz amp bossa nova music radio 24 7 chill out piano amp guitar music stress relief jazz,Please Subscribe! https://www.youtube.com/user/cafemusicbgmchannel Music For Business<U+300C>Cafe Music BGM Station<U+300D> English: https://bgm-station.com/en/ ...,https://i.ytimg.com/vi/DSGyEsJ17cI/default_live.jpg,120,90,https://i.ytimg.com/vi/DSGyEsJ17cI/mqdefault_live.jpg,320,180,https://i.ytimg.com/vi/DSGyEsJ17cI/hqdefault_live.jpg,480,360,Cafe Music BGM channel,live,18345654,100490,2964,0,0,1,2019,3.24
-s6CIGT2RX8,2019-11-23,UC-MMd_17p3qNSTVbLdiYzow,gangsta rap radio 24 7 <U+0001F534> underground rap amp hip hop live music rap party radiotress relief jazz,Now listening to: Gangster Rap Radio 24/7 Underground Rap & Hip Hop Live Music (Rap Party Radio Livestream Non-Stop) - Dedicated for listening in the ...,https://i.ytimg.com/vi/-s6CIGT2RX8/default_live.jpg,120,90,https://i.ytimg.com/vi/-s6CIGT2RX8/mqdefault_live.jpg,320,180,https://i.ytimg.com/vi/-s6CIGT2RX8/hqdefault_live.jpg,480,360,Rap Party,live,2823972,36916,1726,0,0,11,2019,NaN
xwe8F_AhLY0,2019-06-14,UCQxyZPb2MlofSRStZw_rNPQ,mason ramsey twang official music video,"Mason Ramsey's new EP Twang is available now: http://masonramsey.lnk.to/TwangID See Mason on the How's Ur Girl & How's Ur Family Tour, Part 2: 10/17 ...",https://i.ytimg.com/vi/xwe8F_AhLY0/default.jpg,120,90,https://i.ytimg.com/vi/xwe8F_AhLY0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xwe8F_AhLY0/hqdefault.jpg,480,360,Mason Ramsey,none,22955572,165522,20361,0,16509,6,2019,NaN
mB_cBLlv4iA,2019-12-17,UCdLf5_x-4eic2Hw-uovjdKA,rick ross nobody 39 s favorite official music video ft gunplay,'Port of Miami 2' Album Available Now: https://smarturl.it/PortOfMiami2 Rick Ross online: https://twitter.com/rickross https://www.instagram.com/richforever ...,https://i.ytimg.com/vi/mB_cBLlv4iA/default.jpg,120,90,https://i.ytimg.com/vi/mB_cBLlv4iA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mB_cBLlv4iA/hqdefault.jpg,480,360,RickRossVEVO,none,6237052,128093,5089,0,4484,12,2019,NaN
dWwMIXoIc6U,2019-11-08,UCex83nRMBJRBx8pHLx0jntA,mimi x daniela i got your back music video,"Hi guys! Hope you enjoy Mimi x Daniela's new ""I Got Your Back"" music video! Let us know what YOU think about the music video in the comments below!",https://i.ytimg.com/vi/dWwMIXoIc6U/default.jpg,120,90,https://i.ytimg.com/vi/dWwMIXoIc6U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dWwMIXoIc6U/hqdefault.jpg,480,360,funniflix,none,26143400,92497,12219,0,NA,11,2019,NaN
UX1cdPqW5M8,2019-02-16,UCC9rwt1T2i4klATksN6prdQ,best shuffle dance music 2020 <U+266B> 24 7 live stream video music <U+266B> best electro house amp bass boosted mix,Best Shuffle Dance Music 2020 <U+266B> 24/7 Live Stream Video Music <U+266B> Best Electro House & Bass Boosted Mix Turn on the bell to join the notification squad ...,https://i.ytimg.com/vi/UX1cdPqW5M8/default_live.jpg,120,90,https://i.ytimg.com/vi/UX1cdPqW5M8/mqdefault_live.jpg,320,180,https://i.ytimg.com/vi/UX1cdPqW5M8/hqdefault_live.jpg,480,360,N&T Party,live,24754822,219634,12989,0,0,2,2019,NaN
_Y3Dc__zFg4,2019-07-16,UCex83nRMBJRBx8pHLx0jntA,michaela x brasher tattletale music video,"""Tattletale"" Available Everywhere! Spotify: https://open.spotify.com/album/7pSH3VUpNlGzEwuuRslgvO Google Play: ...",https://i.ytimg.com/vi/_Y3Dc__zFg4/default.jpg,120,90,https://i.ytimg.com/vi/_Y3Dc__zFg4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_Y3Dc__zFg4/hqdefault.jpg,480,360,funniflix,none,91987086,180438,57615,0,NA,7,2019,NaN
LFnV-vb1Bxc,2019-03-15,UCxnuocYtHU8Sxo14SOOGveg,sofia reyes r i p feat rita ora amp anitta official music video,Official video for Sofia Reyes - R.I.P. (feat. Rita Ora & Anitta) Suscríbete al canal: http://bit.ly/SofiaReyesYT Available on all digital platforms: ...,https://i.ytimg.com/vi/LFnV-vb1Bxc/default.jpg,120,90,https://i.ytimg.com/vi/LFnV-vb1Bxc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/LFnV-vb1Bxc/hqdefault.jpg,480,360,Sofia Reyes,none,153942777,1308626,51665,0,49167,3,2019,3.22
xNV38nq1fqc,2019-05-12,UC3AmjXntfSsZmWLqu9JqYrw,top 100 songs of 2019 best hit music playlist on spotify,TOP 100 Songs of 2019 (Best Hit Music Playlist) on Spotify ----------------------------------------------------------------------------------- Subscribe : https://goo.gl/J2h1cy ...,https://i.ytimg.com/vi/xNV38nq1fqc/default.jpg,120,90,https://i.ytimg.com/vi/xNV38nq1fqc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xNV38nq1fqc/hqdefault.jpg,480,360,Music Forever,none,12682561,54275,7042,0,1678,5,2019,76.36
