word,frequency
u,348
music,281
video,130
official,108
7,46
24,45
live,38
amp,37
radio,35
2020,32
best,30
2019,29
relaxing,29
39,27
songs,24
sleep,21
quot,20
study,20
266b,18
new,17
x,17
house,16
043a,15
0001f534,15
piano,14
mix,13
pop,12
0438,12
rap,11
0443,11
0441,11
jazz,11
0430,11
0435,11
044b,11
wedding,10
ft,10
meditation,9
chill,9
stream,9
deep,9
043d,9
musical,8
0001f50a,8
popular,8
0440,8
feat,8
043e,8
relax,7
hip,7
time,7
043c,7
hop,7
0432,7
0437,7
band,7
hits,6
relief,6
marshmello,6
pack,6
beats,6
lil,6
gaming,6
top,6
playlist,6
bgm,6
free,6
edm,6
043b,5
stress,5
7528,5
english,5
beautiful,5
love,5
043f,5
demo,5
nightcore,4
064a,4
2b50,4
kevin,4
lofi,4
b,4
high,4
tv,4
044f,4
300d,4
300c,4
swift,4
calming,4
vocal,4
trap,4
gates,4
taylor,4
0434,4
dubstep,4
christmas,4
roddy,3
spa,3
travis,3
minecraft,3
awards,3
good,3
school,3
7720,3
song,3
yo,3
0648,3
classical,3
ambient,3
nle,3
choppa,3
1,3
russian,3
waves,3
ricch,3
night,3
twice,3
ariana,3
rescue,3
day,3
chillout,3
rock,3
2,3
instrumental,3
dababy,3
start,3
fortnite,3
r,3
j,3
0442,3
electro,3
max,3
healing,3
e,3
world,3
dogs,3
mozart,3
30fc,3
underground,3
telugu,3
dance,3
soul,3
bass,3
fe0f,3
fm,3
100,3
rain,3
ray,3
2665,3
ava,3
da,3
grande,3
peaceful,2
wit,2
canli,2
joy,2
k,2
iggy,2
frozen,2
cyrus,2
nas,2
need,2
apple,2
00a0,2
back,2
year,2
movie,2
peppa,2
dir,2
guitar,2
happy,2
nobody,2
tiny,2
03bb,2
0641,2
0643,2
smooth,2
work,2
baroque,2
musik,2
ed,2
dheeme,2
focus,2
lounge,2
dinle,2
hozier,2
shuffle,2
eilish,2
gangsta,2
4k,2
god,2
copyright,2
got,2
dan,2
bts,2
lyric,2
billie,2
mimi,2
0635,2
let,2
russische,2
fe0e,2
collection,2
0445,2
rings,2
gomez,2
2605,2
martinez,2
insomnia,2
rod,2
stop,2
pole,2
03bd,2
spotify,2
disney,2
03b9,2
03b7,2
l,2
desk,2
cello,2
hd,2
hu,2
pig,2
texas,2
sucker,2
youtube,2
audio,2
relaxation,2
wave,2
game,2
schmitt,2
cabela,2
30e1,2
300f,2
300e,2
almost,2
merry,2
streaming,2
slow,2
30ec,2
30eb,2
oddly,2
540d,2
party,2
winter,2
west,2
binaural,2
club,2
town,2
disco,2
melanie,2
g,2
sleepesta,2
azalea,2
meditation020,2
power,2
0001f331,2
0001f334,2
0627,2
life,2
0621,2
sweet,2
gatie,2
delta,2
concert,2
lyrics,2
energy,2
satisfying,2
born,2
trailer,2
dazzle,2
p,2
yoga,2
scott,2
cardi,2
npr,2
ali,2
one,2
044c,2
mine,2
thing,2
blocks,2
3011,2
3010,2
ocean,2
ethiopian,2
hot,2
calm,2
billboard,2
reggae,2
fireplace,2
selena,2
30c9,2
66f2,2
panic,2
shaddix,1
lessons,1
black,1
lipa,1
created,1
ballerini,1
female,1
billy,1
roy,1
lute,1
concentration,1
akasa,1
alberta,1
tabú,1
dumebi,1
full,1
ba3zia,1
proof,1
papa,1
lauren,1
201fy,1
italy,1
graveyard,1
happily,1
walker,1
walk,1
breathe,1
man,1
nergie,1
unknown,1
1984,1
monsta,1
bhadana,1
bieber,1
panini,1
yoshi,1
anxiety,1
1292,1
rip,1
fimbul,1
melatonin,1
people,1
manson,1
increase,1
laura,1
take,1
torn,1
toddler,1
fanya,1
528hz,1
khaan,1
cake,1
tupo,1
boostedsic,1
mrsuicidesheep,1
face,1
perfume,1
ready,1
arteest,1
fenomen,1
smoke,1
harry,1
12e8,1
cat,1
lake,1
sharma,1
david,1
alborán,1
miracle,1
hoodie,1
name,1
country,1
branigan,1
ap,1
gameplay,1
hell,1
sleepy,1
hailemichael,1
hit,1
middle,1
dog,1
fiesta,1
walls,1
yebleni,1
long,1
camino,1
boogie,1
2epesta,1
friend,1
sunday,1
medley,1
akil,1
khoukoum,1
cocomelon,1
yungblud,1
lagoinha,1
kickstand,1
colebennett,1
tool,1
lover,1
broadway,1
true,1
rooftops,1
dale,1
puri,1
723e,1
yohannes,1
gonna,1
likes,1
pure,1
links,1
side,1
relaxix,1
kicks,1
selektah,1
traditional,1
doors,1
mango,1
boots,1
00bc,1
records,1
tropical,1
bored,1
thùy,1
prazor,1
0645,1
0644,1
0647,1
0646,1
bigchildsupport,1
verbal,1
fall,1
hatimu,1
right,1
worl,1
tattletale,1
bitter,1
chart,1
rita,1
regeneration,1
else,1
exclusive,1
durk,1
tmg,1
blackbear,1
bossa,1
fake,1
saxlove,1
reduce,1
techno,1
release,1
blackpink,1
musicp,1
dnb,1
0001f634,1
travel,1
boosted,1
evans,1
viking,1
en,1
violin,1
amit,1
papik,1
cafe,1
videos,1
rema,1
valadão,1
shelton,1
30aa,1
count,1
062d,1
greek,1
weddings,1
throw,1
crosswalk,1
brendon,1
oister,1
kane,1
remember,1
trigabox,1
masego,1
vittar,1
friends,1
dle,1
velvet,1
legends,1
b4e4,1
kind,1
starpro,1
poland,1
parichay,1
mason,1
prima,1
cole,1
epic,1
butterfly,1
twang,1
cast,1
menzel,1
casting,1
wrld,1
last,1
retreats,1
h,1
7ce,1
star,1
432hz,1
kelsea,1
break,1
nova,1
favorite,1
bury,1
minor,1
sleeping,1
696d,1
viki,1
pal,1
station,1
12f3,1
3,1
ganacci,1
p2,1
müzik,1
brown,1
feel,1
marilyn,1
byg,1
father,1
august,1
young,1
thotiana,1
trippy,1
homecoming,1
huncho,1
7d50,1
heaven,1
ncs,1
68cb,1
christian,1
service,1
foster,1
missy,1
rhymes,1
length,1
interview,1
c,1
musicnew,1
soft,1
zen,1
lisa,1
jacoby,1
ieshia,1
drama,1
lion,1
events,1
