video_id,duration,liveBroadcastContent
RXFilHLLqPM,4.56,none
Dx5qFachd3A,NaN,live
VIWVfkF2IeI,NaN,live
kGKkUN50R0c,NaN,live
6BSfBEAAWEc,4.17,none
o71ggIZ1CAk,3.18,none
DSGyEsJ17cI,3.24,live
-s6CIGT2RX8,NaN,live
xwe8F_AhLY0,3.24,none
mB_cBLlv4iA,4.55,none
dWwMIXoIc6U,2.58,none
UX1cdPqW5M8,NaN,live
_Y3Dc__zFg4,2.37,none
LFnV-vb1Bxc,3.22,none
xNV38nq1fqc,76.36,none
OlP_FYgSEtM,NaN,live
NOjrt1mrD8Q,3.12,none
31VHVWOseoY122.29,122.29,none
60UGcXAW0qM,NaN,live
sbEXdlmjJV4,3.32,none
ZAouh6jstiE,NaN,live
yPLLhlX0YXM,NaN,live
QqBzotBqV4g,3.03,none
L9Q1HUdUMp0,NaN,live
I6nFMGgNP7Q,5.12,none
bXcSLI58-h8,2.25,none
5qky3L2Q6G4,NaN,live
jnGUs3jCb_I,NaN,live
g0mbEe-YjMs,NaN,live
jp-CVYGEsjg,3.15,none
UAlIq7BKNxg,4.14,none
fwyIuJFdKiQ,4.07,none
v4-KVCT97wU,4.01,none
u6kdx-Q61l0,NaN,live
kdtkyYid7YA,NaN,live
x36P30CRxvY,NaN,live
cGo9w6vwBhA,NaN,live
c_4DUcfE1sU,3.13,none
uAKng83wZJE,2.35,none
Dkk9gvTmCXY,3.3,none
1N3vUlC5354,3.03,none
Jj9i_C2lI90,4.24,none
lEMIKBiDHeo,3.32,none
bebuiaSKtU4,NaN,live
1DmwyNkmTJ0,2.39,none
3DTOwbYHc-0,3.43,none
cJc7xWJbwJw,3.31,none
RP0_8J7uxhs,5.07,none
iuzyA5gDa4E,5.47,none
8u-_64S7plI,2.43,none
mC5i9ETswoc,3.29,none
ChXP97VTOjQ,72.5,none
okG6yNKaS1g,3.12,none
mDTH8UuGxEY,NaN,live
DGafRnGOZhY,2.28,none
BOgiLwQ7Es0,7.11,none
pvuN_WvF1to,7.11,none
zlJDTxahav0,3.26,none
H236E7OwWH4,3.56,none
nUEqPtVGIpE,3.07,none
Nu__TzWfpss,2.5,none
TmZhesvByUg,3.26,none
WgCBLadM-QY,4.25,none
81qfVupNxp8,119.53,none
wBmWvvTV0P4,3.2,none
P7X5u3itLb0,NaN,live
CMla2ZIz7-4,4.45,none
xZOmsK74-c0,3.38,none
3-SshZqxujo,26.11,none
c_4DUcfE1sU,3.13,none
-CwoylxqVPA,3.44,none
kBu9fbtbsUc,NaN,live
jFGkeMPq8Lo,4.38,none
fBVJoIbNjdQ,NaN,live
9mWdw-09dso,2.42,none
G_zDUTFJfcY,3.5,none
TLpLKt8lJ3A,3.16,none
WawwqrfvnWE,NaN,live
FWCCwU35fb8,NaN,live
Hq2iOuhECos,NaN,live
BgP1x0QqkUM,NaN,live
oVWEb-At8yc,6.09,none
z59hc7RcbDA,4.51,none
S-gxNYXogKU,361.27,none
mtXASss7EY0,NaN,live
oqxvaDbAHkI,4.5,none
CwkzK-F0Y00,2.03,none
Y2E71oe0aSM,2.55,none
k9Sd6HXjJK4,NaN,live
LfnzCsEzNSk,5.5,none
w2Ov5jzm3j8,5.09,none
NEmIPDs9CZw,NaN,live
yev1OGDOKNo,NaN,live
f6GI-qpgUok,NaN,live
LH4Y1ZUUx2g,3.24,none
acQS2Fef8tU,196.56,none
hj83cwfOF3Y,190.29,none
393C3pr2ioY,2.37,none
6Poonh_ZY4I,NaN,live
oygrmJFKYZY,3.01,none
HUHC9tYz8ik,3.32,none
_ftNS7EFysY,3.13,none
9rOKdATrV4g,4.06,none
2OEL4P1Rz04,181.07,none
4zJ4i6Az2Ck,2.44,none
28hYUZMufDg,3.03,none
Ioz93bSi2uc,3.27,none
oh_DWDOZkAM,NaN,live
eUUuI--jAlM,3.19,none
E71Lve6zEHg,2.43,none
6GVgncA9oiw,182.45,none
FflfOb4BWCU,3.08,none
lZOgjUfGTWA,57,none
DykVJl6wr_4,3.59,none
T1xzr_iEy_I,3.59,none
Ze1T1exJ6vQ,130.35,none
vuq-VAiW9kw,3.44,none
PC0nSbgwAqw,3.14,none
sv29DzgiXZA,5.14,none
FuXNumBwDOM,4.09,none
gYDKcbAMElU,2,none
7nipHhaNkf0,NaN,live
GQNc511JPUo,4.09,none
nqK2cD1SbOg,2.59,none
JrtPRQO9pu4,3.21,none
CJOZc02VwJM,3.44,none
wJ0x_JqyJ-Q,NaN,live
kx7P_ENnDPE,3.11,none
Nym5stAJAt8,3.28,none
6BYIKEH0RCQ,3.11,none
wSmJByYYnLQ,9.4,none
UNB8F0ObA4g,3.22,none
ce1lTmRtIkM,2.59,none
29a6o5vRKVM,3.23,none
ZEWGyyLiqY4,3.28,none
zUU1bIWpH5c,3.16,none
dDAT9izxUw0,2.18,none
ai8Iziv249w,NaN,live
-7_ZuR7gFgc,NaN,live
XAVFWtus75k,3.32,none
GoZmb8qY5D4,NaN,live
33rIEFSdU74,NaN,live
UQRDv3HtmUA,NaN,live
5aWgoO0capE,2.18,none
A9Lj1ps6SC4,2.3,none
1pbfbkKEkNw,3.51,none
h1sCiXTlR8Q,2.48,none
2EntxPIULUI,4.24,none
SxGLPVvNjvY,3.13,none
sossVy41Gjw,0.3,none
QpKhGNaiS6c,3.2,none
BTsW30Ur0sg,2.29,none
591IG9640h8,100.59,none
7ku4WbWEQPU,77.45,none
zQELp93xxfo,3.51,none
e-qY_UEOWD4,3.17,none
PuyRsGtNnmw,NaN,live
Ai6yVrEiW_Q,NaN,live
Vlt-2BiHbYI,67.34,none
JJ9IX4zgyLs,3.51,none
CnAmeh0-E-U,3.19,none
tfSS1e3kYeo,2.56,none
yezDEWako8U,7.44,none
gYR0xP1j4PY,3.48,none
UAXaxmKe3xg,3.52,none
LC8_WA7axTA,NaN,live
