Text,Size,Color,Angle,Font,Repeat,URL
Again,23,Random,Random,Random,No,
Music,15,Random,Random,Random,No,
Loading,14,Random,Random,Random,No,
Sign,10,Random,Random,Random,No,
In,10,Random,Random,Random,No,
Views,9,Random,Random,Random,No,
Viewsnew,9,Random,Random,Random,No,
This,8,Random,Random,Random,No,
The,6,Random,Random,Random,No,
Is,6,Random,Random,Random,No,
Top,5,Random,Random,Random,No,
Your,5,Random,Random,Random,No,
More,5,Random,Random,Random,No,
Add,5,Random,Random,Random,No,
Www,5,Random,Random,Random,No,
Ft,5,Random,Random,Random,No,
Youtube,4,Random,Random,Random,No,
For,4,Random,Random,Random,No,
Watch,4,Random,Random,Random,No,
Working,4,Random,Random,Random,No,
Out,4,Random,Random,Random,No,
Nba,4,Random,Random,Random,No,
Com,4,Random,Random,Random,No,
Baby,4,Random,Random,Random,No,
Audio,4,Random,Random,Random,No,
King,4,Random,Random,Random,No,
Von,4,Random,Random,Random,No,
Next,3,Random,Random,Random,No,
Count,3,Random,Random,Random,No,
Later,3,Random,Random,Random,No,
Report,3,Random,Random,Random,No,
Videos,3,Random,Random,Random,No,
Play,3,Random,Random,Random,No,
Browser,2,Random,Random,Random,No,
Experience,2,Random,Random,Random,No,
Please,2,Random,Random,Random,No,
Queue,2,Random,Random,Random,No,
Desktop,2,Random,Random,Random,No,
New,2,Random,Random,Random,No,
It,2,Random,Random,Random,No,
Stillflexinstillsteppin,2,Random,Random,Random,No,
Liltop,2,Random,Random,Random,No,
Unsubscribe,2,Random,Random,Random,No,
From,2,Random,Random,Random,No,
Content,2,Random,Random,Random,No,
Like,2,Random,Random,Random,No,
Make,2,Random,Random,Random,No,
Opinion,2,Random,Random,Random,No,
Available,2,Random,Random,Random,No,
When,2,Random,Random,Random,No,
Now,2,Random,Random,Random,No,
On,2,Random,Random,Random,No,
Https,2,Random,Random,Random,No,
Lnk,2,Random,Random,Random,No,
Subscribe,2,Random,Random,Random,No,
Of,2,Random,Random,Random,No,
Atlantic,2,Random,Random,Random,No,
Records,2,Random,Random,Random,No,
Artist,2,Random,Random,Random,No,
By,2,Random,Random,Random,No,
Show,2,Random,Random,Random,No,
Autoplay,2,Random,Random,Random,No,
Will,2,Random,Random,Random,No,
All,2,Random,Random,Random,No,
Bad,2,Random,Random,Random,No,
Calboy,2,Random,Random,Random,No,
Fredo,2,Random,Random,Random,No,
Bang,2,Random,Random,Random,No,
Duke,2,Random,Random,Random,No,
Deuce,2,Random,Random,Random,No,
Polo,2,Random,Random,Random,No,
Flipp,2,Random,Random,Random,No,
Dinero,2,Random,Random,Random,No,
Future,2,Random,Random,Random,No,
Skip,1,Random,Random,Random,No,
Navigation,1,Random,Random,Random,No,
Search,1,Random,Random,Random,No,
We,1,Random,Random,Random,No,
Ll,1,Random,Random,Random,No,
Stop,1,Random,Random,Random,No,
Supporting,1,Random,Random,Random,No,
Soon,1,Random,Random,Random,No,
Best,1,Random,Random,Random,No,
Update,1,Random,Random,Random,No,
Close,1,Random,Random,Random,No,
Unavailable,1,Random,Random,Random,No,
Queuequeuewatch,1,Random,Random,Random,No,
Queuequeue,1,Random,Random,Random,No,
Remove,1,Random,Random,Random,No,
Alldisconnect,1,Random,Random,Random,No,
Startingstop,1,Random,Random,Random,No,
Total,1,Random,Random,Random,No,
Where,1,Random,Random,Random,No,
Meets,1,Random,Random,Random,No,
Our,1,Random,Random,Random,No,
Was,1,Random,Random,Random,No,
Built,1,Random,Random,Random,No,
Be,1,Random,Random,Random,No,
Destination,1,Random,Random,Random,No,
Listen,1,Random,Random,Random,No,
Albums,1,Random,Random,Random,No,
No,1,Random,Random,Random,No,
Thanks,1,Random,Random,Random,No,
Check,1,Random,Random,Random,No,
Find,1,Random,Random,Random,No,
Whyclose,1,Random,Random,Random,No,
Cancel,1,Random,Random,Random,No,
Subscribesubscribedunsubscribe,1,Random,Random,Random,No,
Want,1,Random,Random,Random,No,
Playlist,1,Random,Random,Random,No,
Share,1,Random,Random,Random,No,
Need,1,Random,Random,Random,No,
Inappropriate,1,Random,Random,Random,No,
Translations,1,Random,Random,Random,No,
Don't,1,Random,Random,Random,No,
Rating,1,Random,Random,Random,No,
Has,1,Random,Random,Random,No,
Been,1,Random,Random,Random,No,
Rented,1,Random,Random,Random,No,
Feature,1,Random,Random,Random,No,
Not,1,Random,Random,Random,No,
Right,1,Random,Random,Random,No,
Try,1,Random,Random,Random,No,
Published,1,Random,Random,Random,No,
Feb,1,Random,Random,Random,No,
Topstill,1,Random,Random,Random,No,
Flexin,1,Random,Random,Random,No,
Still,1,Random,Random,Random,No,
Steppin,1,Random,Random,Random,No,
Stream,1,Random,Random,Random,No,
Download,1,Random,Random,Random,No,
Stillflexinst,1,Random,Random,Random,No,
Subscribeconnect,1,Random,Random,Random,No,
With,1,Random,Random,Random,No,
Http,1,Random,Random,Random,No,
Youngboynba,1,Random,Random,Random,No,
Comhttps,1,Random,Random,Random,No,
Facebook,1,Random,Random,Random,No,
Nbayoungboyhttps,1,Random,Random,Random,No,
Twitter,1,Random,Random,Random,No,
Ggyoungboyhttps,1,Random,Random,Random,No,
Instagram,1,Random,Random,Random,No,
Youngboyhttps,1,Random,Random,Random,No,
Soundcloud,1,Random,Random,Random,No,
Youngboythe,1,Random,Random,Random,No,
Channel,1,Random,Random,Random,No,
Latest,1,Random,Random,Random,No,
Performances,1,Random,Random,Random,No,
And,1,Random,Random,Random,No,
Youngboyneverbrokeagain,1,Random,Random,Random,No,
Category,1,Random,Random,Random,No,
Song,1,Random,Random,Random,No,
Album,1,Random,Random,Random,No,
Licensed,1,Random,Random,Random,No,
Wmg,1,Random,Random,Random,No,
Behalf,1,Random,Random,Random,No,
Less,1,Random,Random,Random,No,
Advertisement,1,Random,Random,Random,No,
Enabled,1,Random,Random,Random,No,
Suggested,1,Random,Random,Random,No,
Automatically,1,Random,Random,Random,No,
Up,1,Random,Random,Random,No,
Sum,1,Random,Random,Random,No,
Prove,1,Random,Random,Random,No,
Pf,1,Random,Random,Random,No,
Mix,1,Random,Random,Random,No,
Releasedyoutube,1,Random,Random,Random,No,
Givenchy,1,Random,Random,Random,No,
Kickin,1,Random,Random,Random,No,
Tjay,1,Random,Random,Random,No,
Call,1,Random,Random,Random,No,
Me,1,Random,Random,Random,No,
Late,1,Random,Random,Random,No,
Crazy,1,Random,Random,Random,No,
Story,1,Random,Random,Random,No,
Pt,1,Random,Random,Random,No,
Kevin,1,Random,Random,Random,No,
Gates,1,Random,Random,Random,No,
Dreka,1,Random,Random,Random,No,
Visualizer,1,Random,Random,Random,No,
Kevingatestv,1,Random,Random,Random,No,
Yo,1,Random,Random,Random,No,
Slime,1,Random,Random,Random,No,
Rip,1,Random,Random,Random,No,
Phat,1,Random,Random,Random,No,
Crunk,1,Random,Random,Random,No,
Ain,1,Random,Random,Random,No,
Dead,1,Random,Random,Random,No,
Remix,1,Random,Random,Random,No,
Jon,1,Random,Random,Random,No,
Juicy,1,Random,Random,Random,No,
Project,1,Random,Random,Random,No,
Pat,1,Random,Random,Random,No,
Long,1,Random,Random,Random,No,
Rd,1,Random,Random,Random,No,
Bring,1,Random,Random,Random,No,
'em,1,Random,Random,Random,No,
Stunna,1,Random,Random,Random,No,
Vegas,1,Random,Random,Random,No,
Nle,1,Random,Random,Random,No,
Choppa,1,Random,Random,Random,No,
Feat,1,Random,Random,Random,No,
Mike,1,Random,Random,Random,No,
Made,1,Random,Random,Random,No,
Go,1,Random,Random,Random,No,
Stupid,1,Random,Random,Random,No,
Took,1,Random,Random,Random,No,
Her,1,Random,Random,Random,No,
Mo,1,Random,Random,Random,No,
Boosie,1,Random,Random,Random,No,
Badazz,1,Random,Random,Random,No,
Desi,1,Random,Random,Random,No,
Banks,1,Random,Random,Random,No,
Apartment,1,Random,Random,Random,No,
Hsm,1,Random,Random,Random,No,
War,1,Random,Random,Random,No,
Wit,1,Random,Random,Random,No,
Us,1,Random,Random,Random,No,
Gee,1,Random,Random,Random,No,
Money,1,Random,Random,Random,No,
Diss,1,Random,Random,Random,No,
Aj,1,Random,Random,Random,No,
Daflare,1,Random,Random,Random,No,
Fine,1,Random,Random,Random,No,
Time,1,Random,Random,Random,No,
How,1,Random,Random,Random,No,
Move,1,Random,Random,Random,No,
Life,1,Random,Random,Random,No,
Good,1,Random,Random,Random,No,
Drake,1,Random,Random,Random,No,
Recommended,1,Random,Random,Random,No,
You,1,Random,Random,Random,No,
Language,1,Random,Random,Random,No,
English,1,Random,Random,Random,No,
Location,1,Random,Random,Random,No,
United,1,Random,Random,Random,No,
States,1,Random,Random,Random,No,
Restricted,1,Random,Random,Random,No,
Mode,1,Random,Random,Random,No,
Off,1,Random,Random,Random,No,
History,1,Random,Random,Random,No,
Help,1,Random,Random,Random,No,
About,1,Random,Random,Random,No,
Press,1,Random,Random,Random,No,
Copyright,1,Random,Random,Random,No,
Creators,1,Random,Random,Random,No,
Advertise,1,Random,Random,Random,No,
Developers,1,Random,Random,Random,No,
Terms,1,Random,Random,Random,No,
Privacy,1,Random,Random,Random,No,
Policy,1,Random,Random,Random,No,
Safety,1,Random,Random,Random,No,
Send,1,Random,Random,Random,No,
Feedback,1,Random,Random,Random,No,
Test,1,Random,Random,Random,No,
Features,1,Random,Random,Random,No,
Playlists,1,Random,Random,Random,No,
