video_id,duration,viewCount
XZDA0gGOnqg,21.22,850766
NK9F1zwBNug,39.31,2003185
Vrg4KlKnKoY,22.26,398535
1MenwQ5D_FI,12.52,2968065
Ei7ZtO5qYgo,25.12,206245
DYrrWSd9bFk,43.09,546390
_pGfUwgbHKk,17.43,488899
tLzp_xUr-gQ,17.22,1219392
vmDz1nuFSVE,20.37,630061
IVsMSPNVHR0,17.1,2807972
zBaDMJknffU,3.37,205421
5YZz3bgM120,15.05,168097
qxmW-o-a7xc,16.46,154530
cUgrN9ZEffc,16.28,3415
9DkBYixYBFs,18.51,960510
pdD2vMgAdh4,10.04,209837
DbolchbGedk,11.1,695540
yq3F7BKl0Fg,13.15,518695
mWQ_x2ltWD8,13.45,666592
RlnVYNu5qLI,5.3,274983
KSA9Ltcp3R8,2.26,813707
PkhVybrCMks,18.33,231037
s5EigVsM_OI,22,291432
eUuSpqbHmPc,10.03,485616
dTpFnkuYPYE,19.42,3259303
kooDW45JJc0,5.58,695215
K3g2840zXKY,47.46,16760051
bAl-xp6fYDo,47.46,484649
8A9Sdvppurs,nan,1554276
x94NyYrmrNc,32.55,230780
plHrjHfTOvc,34.43,150514
iRxJg2y2UqQ,21.11,1042653
jJkNHCTGN1w,27.53,990250
atb3b_Dy3vI,24.48,87355
4tbDcf-n1Xs,37.24,3856884
pAAwTIrhKKw,7.45,6294789
HEDHFlYOgP8,13.32,151360
HULETp40pVk,12.5,201613
y7R3NghyxNw,15.29,1078596
PNYdQrFResI,nan,1247
7DuQtVVxuIo,16.47,7494
cJblpoh9Lok,25.33,59
glEEXAX2Xcg,5.43,3658
dW-7NANA6TA,13.52,302
By2hmo323xM,8.23,2351652
EuzGEj5m-QA,25.29,746
88cJVoESSps,39.32,22085
l5eEcKa7g2U,45.53,317011
FGWn8P7c7yE,1.18,15
IlElgfH0Rb0,17.38,1811441
TxKSmvXs2ug,38.33,469982
nrfnA5_L8sE,5.09,869475
H3CGsnTom_A,25.16,13163
FNfI0kK2fyM,38.25,7
sJ9_oTq2B2E,11.22,1432
9E4HMgh7ZsE,1.35,6848515
chKGlrFz73g,2.3,9
vMgiLyh-IKU,12.31,119242
7YAuI3sX1KU,nan,50
NgQHBEkLYQY,35.39,15
QcQa54miYvY,2.02,86821
vgReeDuWa1c,30.15,28
T-L2TC1sQD4,9.18,325473
WeMwiLFv7d0,9.31,1
sA8SnfEaDEU,8.44,6017048
CDzqSBaJIao,24.2,291308
5nCiUqnIkLU,13.42,751
_9YV6S7nGPo,4.58,255336
SH1Yd8ky8b4,4.58,121034
yN183Trh2NY,10.51,2337
