video_id	text
EVQ7xDSgtI0	Looks like they blew they're entire budget on Arnold Schwarzenegger and Jackie chan, cause the cgi looks like crap
EVQ7xDSgtI1	Umm.....  Why do I get the feeling that Jackie Chan and Arnold Schwarzenegger are only in one scene in this entire movie?
EVQ7xDSgtI2	I bet Jacky and Arnold only play a really small part in the first 10 minutes in the movie and will never show up again.
EVQ7xDSgtI3	The fact that it looks kind of bad makes me want to watch it even more
EVQ7xDSgtI4	This was the strangest trailer I've ever seen...... It seems very confused. Wtf?
EVQ7xDSgtI5	Get to the dragon!!
EVQ7xDSgtI6	Audio dubbing? All the audio sounds like voice over.
EVQ7xDSgtI7	The dragon will get Terminated
EVQ7xDSgtI8	this looks like a SNL skit
EVQ7xDSgtI9	Oh this is corny and perfect. I'm gonna watch the hell out of this!
EVQ7xDSgtI10	This trailer was uploaded 2 years ago to a random YouTube channel, so this must be a extremely old project that they just forgot to release
EVQ7xDSgtI11	Watching our heros gating old is so painful
EVQ7xDSgtI12	I don't care how bad the writing or CGI is, Jackie Chan and Arny are together and I'm here for it
EVQ7xDSgtI13	This is a foreign film that was released like 3 years ago under a different title. It is only now being dubbed in English and released in the US
EVQ7xDSgtI14	I'm nominating this for a Razzie just going by the trailer!
EVQ7xDSgtI15	"I'm still recovering from the ""Rough Draft"" trailer... LOL"
EVQ7xDSgtI16	"It's called ""THE MYSTERY OF THE DRAGON SEAL"""
EVQ7xDSgtI17	Man I feel real sad ?....jackie is getting old . I am gonna become depressed when he dies ?. I always was a huge fan since I was 7yrs old
EVQ7xDSgtI18	0:46 Mmmmmmmmmmm..........THE CGI IS VERY WRONG
EVQ7xDSgtI19	"""IT'S SE TAAUUUAAA!!"" :D"
EVQ7xDSgtI20	2 legends and this the best story yall can come up with...meh.....??
EVQ7xDSgtI21	 like when jackie chan and jet li did that fantasy movie together come on ??
EVQ7xDSgtI22	Looks like crap.
EVQ7xDSgtI23	Okay, I'm in.
EVQ7xDSgtI24	When Terminator meets The Monkey King: The Movie!! :p
EVQ7xDSgtI25	Jackie Chan Nostalgia brought me
EVQ7xDSgtI26	Dragon have a corona virus ?
EVQ7xDSgtI27	Please Jackie make a Reboot from one of your old Films ,like Drunken Master ,Snake in the Eagles Shadow ....!
EVQ7xDSgtI28	When you don't have a single actual scenery, invest in good CGI. Please.
EVQ7xDSgtI29	I just watched “The Foreigner” and thought; “Wow Jackie Chan has gotten even better in his old age.” Then I see this trailer. Never mind.
EVQ7xDSgtI30	If this is anything like The Man with the Iron Fists, I think we're in for a good time, no alcohol required
EVQ7xDSgtI31	"SKYNET: ""SENDING T-101 IN 1700."" ?"
EVQ7xDSgtI32	The match up we've been looking for, but 20 years late ?
EVQ7xDSgtI33	The trailer is odd. Is this a child’s movie?
EVQ7xDSgtI34	"""Something is very wrong"". Yeah, it's the dubbing on the damn trailer ?! BTW Arnie looks like Baron von Munchausen. If you have not seen that Terry Gilliam classic yet, I dare you to see it now."
EVQ7xDSgtI35	THE CGI LOOKS AMAZING!!!! IF THIS YEAR WERE 2002!!!
EVQ7xDSgtI36	Looks like it's the sequel to Forbidden Empire with Jason Flemyn which I enjoyed; on Amazon Prime, going to have to see this one.
EVQ7xDSgtI37	Was the first one great? No! but it was a blast and Jason Flemyn looked like he was having fun in it.?
EVQ7xDSgtI38	Escape Plan: The Prequel
EVQ7xDSgtI39	I could of sworn I saw this on syfy channel last year??
EVQ7xDSgtI40	If I was forced to go see this manure in the cinema I’d wear an iron mask with no eye holes. Muck.
EVQ7xDSgtI41	The mid 2000s called; they want their graphics back.
EVQ7xDSgtI42	Wow i remember seeing this trailer in like 2014 ....wtf
EVQ7xDSgtI43	I first thought that the King of France was Chinese. ?
EVQ7xDSgtI44	Jackie Chan, he's old now ?
EVQ7xDSgtI45	Im very confused..this already released and i watch full on facebook..they changed the movie name 3 times..loll
EVQ7xDSgtI46	I saw the exact same trailer from the movie the mystery of the dragon (2018). Can someone explain why
EVQ7xDSgtI47	How come this is for y2020. I already seen this movie last year.
EVQ7xDSgtI48	IM GEEKING OUT OVER HERE!
EVQ7xDSgtI49	Yeah, battlefield earth in the middle ages, this time Travolta leaves and comes swargeneger! ??????
EVQ7xDSgtI50	So I’m guess that Jackie Chan and Arnold Schwarzenegger are only in the film during an escape attempt in the Tower of London? Maybe a cameo appearance rather than main cast?
EVQ7xDSgtI51	So funny, watched it couple of months ago.
EVQ7xDSgtI52	wtf?! Still going to watch it looks good! :)
EVQ7xDSgtI53	Western civilisation may have just hit its lowest point.
EVQ7xDSgtI54	all these ancient china movie speaking english is making me cringe, c'mon man! its 2020 we prefer subs!!!
EVQ7xDSgtI55	 i dont give a crap if i understood the foreign language or not
EVQ7xDSgtI56	All these comments from great CGI artist.
EVQ7xDSgtI57	The only thing I liked about Kill Bill was Quentin Tarantino's uncompromising vision. This does not have Quentin Tarantino.
EVQ7xDSgtI58	This looks absolutely ridiculous. I can't wait to see it.
EVQ7xDSgtI59	Arnold and Jakie Chan that's awesome
EVQ7xDSgtI60	"Arnold: "" ????? ""!!!"
EVQ7xDSgtI61	I already watched this
EVQ7xDSgtI62	Coming soon to a VHS player near you!
EVQ7xDSgtI63	WTF I watched this movie last year, it's the DRAGON SEAL WTF with Iron mask again, this is the worst
EVQ7xDSgtI64	So funny. Kids movie ?????????????????????
EVQ7xDSgtI65	I love cheesy movies that actually make it to the big screen. MUST SEE for this guy! Everything about this looks like a blast! WHOOOO HOOOOOOO!!!
EVQ7xDSgtI66	Oh dear me I was looking forward to a Jackie Chan and Arnie film and we get this well still waiting lol
EVQ7xDSgtI67	If Sly can be in GoTG, hopefully Chan and Sch can be in GoTG 3!
EVQ7xDSgtI68	It's sounds dubbing ??
EVQ7xDSgtI69	Looks like I'm paying for maverick and Kong vs godzilla this year.
EVQ7xDSgtI70	Wait i alredy watched this movie like a month ago why is the trailer out now? ?
EVQ7xDSgtI71	Great Jackie is back
EVQ7xDSgtI72	This is gonna be fun
EVQ7xDSgtI73	Damn. Thats some good ass CGI for it only being 2020!!!
EVQ7xDSgtI74	Wowww this looks bad. I thought it was a joke for a second lol
EVQ7xDSgtI75	THE ICEMAN COMETH.
EVQ7xDSgtI76	Is this by The Asylum?
EVQ7xDSgtI77	Arnold from Dark Fate is back!
EVQ7xDSgtI78	this looks so bad but i cant wait to watch it!!!!!
EVQ7xDSgtI79	I have seen the movie ???
EVQ7xDSgtI80	Wait, this is for real?
EVQ7xDSgtI81	Did they just decide to put anyone that has a line, in large empty metal room and ADR everything?
EVQ7xDSgtI82	This movie remind me of another Jackie Chan movie called around the world in 80 days. And yeh Mr Arnold was there.
EVQ7xDSgtI83	Ok - so what we take from this trailer is that it has second rate CG, and a third rate script. I think I'll wait for it to appear on free to air TV.
EVQ7xDSgtI84	Doesn’t the background kinda look like a video game?
EVQ7xDSgtI85	trailer was out over 5 months ago????? The Mystery Of The Dragon Seal - Official Trailer (2019) Jackie Chan Movie HD
EVQ7xDSgtI86	The release of Viy 2 in Russia was to be held on 16 August 2018,[6] but subsequently the premiere was postponed to 19 September 2019[7] while pending censorship approval in China.[8] After the completion of the regulation of issues, the film premiered in China on 16 August 2019.[9][2]
EVQ7xDSgtI87	This came out in 2018 didn’t it? Just a different title
EVQ7xDSgtI88	Oooo boy, thats rough
EVQ7xDSgtI89	Jackie and Arnold are probably only in it for the first 5 minutes.
EVQ7xDSgtI90	It is not a tumor!!! ?
EVQ7xDSgtI91	OMG? what a trailer... Then what a movie... no Wait no wait nowai...
EVQ7xDSgtI92	Well good to know arney and jacky are only in one scene of this entire shitfest, I’m in!
EVQ7xDSgtI93	This was potentially a good film, it has a good story. I'm just trying to figure out why you chose to make it a comedy.
EVQ7xDSgtI94	by about 0:31 i had scoffed several times and felt sad and ashamed for the actors involved, thinking this would be a stupid, cheap comedy but then it suddenly became what looked a bit like a decent budget fantasy spectacular! ? 'd   
