title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
12,26,125197,857,311,0
8,34,417219,8152,421,444
13,17,2698148,52484,3852,3332
9,25,3099977,258417,2133,22915
13,13,455848,2845,389,0
11,27,1378263,11885,1157,908
11,22,44670,1564,65,508
14,24,6552676,41598,6415,1063
14,31,856794,15900,790,981
9,37,1677347,27236,1480,1886
11,25,9995840,122042,8753,4318
8,24,10954846,289052,5019,11355
13,19,482771,4064,420,179
10,25,65431,511,138,12
11,28,157178,14624,101,1486
8,31,1152092,17405,874,1445
10,26,33689293,497003,15803,16451
11,21,2555948,28700,1623,870
5,24,156968160,872425,110432,23785
5,21,142853571,427440,51883,11827
13,27,23764733,276478,11288,23886
5,6,47827582,188094,35670,6314
11,21,7770511,60498,4938,1933
13,25,15150530,228266,19277,5897
8,24,8133590,318248,5847,10949
12,29,18638961,107079,10995,3189
17,27,6220397,98633,2558,4529
9,24,3686243,43284,1458,1880
10,24,345801,1308,505,0
5,22,124512,11636,211,989
6,26,1770839,34308,2757,6718
18,26,21528901,72186,14892,5990
11,15,58447,1226,53,156
4,15,25731407,NA,NA,16245
6,26,14923264,444452,6979,16651
12,25,29308753,486850,12086,8593
11,29,45111,223,67,14
9,24,4938916,31382,1849,1566
11,18,2059731,18238,2682,354
11,22,62126,3612,134,107
6,19,18061160,348878,14208,17182
6,24,43434525,915000,22503,45476
8,23,252491,11203,322,392
4,33,199038,41597,84,1652
10,28,25578349,1472218,7971,41093
7,21,49741,964,64,33
9,28,76233,2968,52,225
11,25,363677,1437,585,0
8,23,549533,11390,281,979
7,33,29095,316,20,13
15,26,18859079,164470,6183,5829
12,25,2298943,10586,4397,0
3,29,70283,14501,38,498
7,32,8254062,78308,9997,5455
12,15,230424,4251,204,1129
11,29,508882,5294,612,60
10,28,48214590,665042,32040,22515
9,25,5464445,300225,8154,22324
8,28,544852,35870,280,3765
12,23,3067563,79490,1732,1237
11,18,1287823,10386,1669,221
9,31,283185,7742,577,1879
10,18,282709,18920,176,1480
9,27,2068493,83322,1349,2353
14,26,1067408,39426,251,1639
8,17,82685,5587,195,476
6,23,405881,13048,606,443
9,19,1090847,50230,610,2813
9,14,40795,520,43,13
7,25,35764499,275742,14759,4882
8,19,18275,355,29,8
8,25,208092,2558,168,55
7,26,157626,5714,178,878
28,30,798217,10265,791,668
28,30,798217,10265,791,668
12,17,5721445,32714,5659,727
75,131,645568,29709,1561,1013
5,24,129834,3672,157,811
11,22,30703,491,18,66
7,26,123522768,384036,110835,6657
11,15,112466,2740,157,150
19,25,72572,2068,87,99
11,17,2436939,17773,2865,301
9,19,157500,3920,389,600
11,21,17484362,192734,5462,6732
11,21,17484362,192734,5462,6732
11,27,311641,8173,281,118
9,27,428017,18991,686,2270
11,15,35965,966,63,51
13,19,3048094,124596,2213,21139
14,26,20247214,177022,13471,3837
10,23,698893,20059,698,1712
6,20,15536,NA,NA,108
5,4,109202,6528,54,911
5,4,109202,6528,54,911
27,23,21491791,639781,9004,35084
9,24,12594578,81399,8805,637
9,26,183041,1077,584,0
7,25,247168,22135,108,943
13,23,10023111,318680,6310,25705
15,24,146024,8047,86,2150
11,20,1057568,20446,846,3627
10,23,10788638,425323,3296,23995
7,21,4315402,230069,1015,5497
6,28,341072,35512,905,493
4,29,20702043,718755,9923,46099
13,27,14328137,218828,9372,10369
8,17,47298,2192,37,175
10,27,1151254,21073,703,1717
7,13,19198,897,12,69
11,21,119152123,1386293,42329,68591
7,20,7232053,42016,5623,1604
4,29,335431,7504,456,2698
12,31,404334,27037,409,804
8,19,102729,1364,114,9
28,30,798217,10265,791,668
28,30,798217,10265,791,668
6,26,67137505,140670,42767,2921
9,32,37211,988,18,112
10,12,146672,2214,145,172
8,23,2031101,27750,1121,2526
14,22,176632,4693,80,852
15,21,13471906,98538,5172,3709
5,25,110463852,1722351,22744,38869
11,21,17484362,192734,5462,6732
11,21,17484362,192734,5462,6732
8,27,242981,12801,126,2303
4,21,50976537,1160192,22901,81152
13,24,53787461,132774,24580,6365
12,18,249807,19276,63,467
12,30,95368,3477,191,661
14,21,3437951,38550,2267,1056
14,28,21641701,438762,10784,41838
4,26,391618,33326,412,2038
4,27,549521,94392,111,1734
9,23,411927,47102,949,316
6,7,123687,2729,78,178
10,29,69555357,518556,48185,40627
13,19,4595561,29169,5218,744
7,9,9586,257,9,12
8,26,7533,522,2,79
10,21,12108953,48713,6775,1181
6,15,95581,868,119,5
10,25,842225,11888,1086,236
10,28,161959,2576,201,70
4,29,12262752,236808,7303,9726
12,25,1548574,29067,949,2148
5,4,109202,6528,54,911
5,4,109202,6528,54,911
4,22,8506929,86897,7470,2454
4,22,8506929,86897,7470,2454
8,17,186027,2238,247,50
8,19,60593658,1404093,23572,99772
13,25,533675,17796,324,1623
11,18,1959647,14948,2242,344
12,29,1154394,33816,683,4048
11,17,759537,6982,1083,180
12,26,5517759,31141,6326,264
11,26,17469007,79393,8550,4285
7,28,36705090,547448,20177,14826
5,26,137547675,2486715,37972,166763
11,14,164590,3022,236,160
9,28,2599563,27364,1213,1195
9,30,14464,786,11,360
14,23,48038307,105792,40254,NA
9,17,484402,4676,217,484
13,26,6254229,80476,2122,1731
7,24,280790,16852,374,1954
10,25,628359,28155,786,2310
10,26,1259419,29539,1202,1888
11,18,2503068,18773,3213,679
7,23,627636,9001,305,1393
7,27,2852369,32318,1418,1594
8,14,68848,1636,106,31
6,22,470350,15208,412,977
7,27,8334892,21242,5565,380
7,25,399410,43837,718,307
4,23,171822718,2201438,62249,141472
8,12,5085658,84730,2459,1630
8,24,2651854,319652,1134,29434
7,23,910087,14171,465,1289
7,27,3310777,8305,1986,137
5,29,102957,5365,84,580
13,31,2979435,62919,1523,8277
8,19,1224867,26157,1666,390
8,32,9620628,95362,7010,1558
4,32,12046669,381616,7574,53737
9,28,11697869,29433,8680,1263
4,24,225945,23091,299,2654
14,26,265585,5246,216,440
8,30,10327248,87903,5352,8125
13,23,20838035,79339,7410,1207
9,23,1033733,49653,483,3186
7,19,570246,29197,250,2767
12,30,4506069,25178,4582,189
6,22,690953,15666,687,423
11,15,123173,2900,118,310
12,22,2090431,47096,1597,607
6,29,2009403,50023,1375,2690
13,27,7477425,163265,4028,12433
6,28,2459507,48070,1127,5177
9,26,2978770,57325,1953,4399
12,19,17945470,99361,21692,NA
6,25,39716,605,69,47
8,28,921934,26316,762,2444
9,32,287241,7019,430,1768
5,19,3537263,261701,2930,13564
9,28,40013,2552,18,83
