"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"sRyslbdtT90","2017-06-01","UCa1WbVCkTqd5ecG6G2adIow","31 insanely affordable budget travel destinations to visit now","This extensive list shows the 31 Cheapest Budget Travel Destinations in the World. Alex and Marko, the Vagabrothers give you pro budget travel tips on what to ...","https://i.ytimg.com/vi/sRyslbdtT90/default.jpg",120,90,"https://i.ytimg.com/vi/sRyslbdtT90/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/sRyslbdtT90/hqdefault.jpg",480,360,"vagabrothers","none",8167645,269800,6221,0,11826,6,2017
"Ik9NeDDnd5Q","2017-06-06","UCGaOvAFinZ7BCN_FDmw74fQ","antigua vacation travel guide expedia","Antigua – In the sparkling Caribbean Sea, just 3 hours from Miami and 8 from London, is the largest island in the nation of Antigua and Barbuda. Check out the ...","https://i.ytimg.com/vi/Ik9NeDDnd5Q/default.jpg",120,90,"https://i.ytimg.com/vi/Ik9NeDDnd5Q/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/Ik9NeDDnd5Q/hqdefault.jpg",480,360,"Expedia","none",444026,2580,82,0,158,6,2017
"SL_YBLWdZb8","2017-12-01","UCa1WbVCkTqd5ecG6G2adIow","welcome to peru best essential tips amp travel guide","Welcome to Peru! This essential travel guide will show you the best essential tips for Peru, one of Latin America's incredible countries. From Lima to Cuzco and ...","https://i.ytimg.com/vi/SL_YBLWdZb8/default.jpg",120,90,"https://i.ytimg.com/vi/SL_YBLWdZb8/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/SL_YBLWdZb8/hqdefault.jpg",480,360,"vagabrothers","none",605050,11401,266,0,728,12,2017
"sJuomOEUvDU","2017-11-21","UCWwqHwqLSrdWMgp5DZG5Dzg","27 travel hacks everyone should know","Subscribe Here: http://bit.ly/2uaz0on 16 Funny Pranks! Prank Wars!: https://youtu.be/Nce3Xm8326M?list=PLy0LaulZe0vRyRDcwVaqbvnbSqhSQNtS- We know ...","https://i.ytimg.com/vi/sJuomOEUvDU/default.jpg",120,90,"https://i.ytimg.com/vi/sJuomOEUvDU/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/sJuomOEUvDU/hqdefault.jpg",480,360,"Troom Troom","none",17060992,86013,8438,0,5501,11,2017
"bLlPYnz_Rt4","2017-04-07","UCeTVoczn9NOZA9blls3YgUg","learn english in 30 minutes all travel phrases you need","This is your ultimate compilation to learn how to travel in the United States! And if you want to study more, click here https://goo.gl/k6orc0 and get the best ...","https://i.ytimg.com/vi/bLlPYnz_Rt4/default.jpg",120,90,"https://i.ytimg.com/vi/bLlPYnz_Rt4/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/bLlPYnz_Rt4/hqdefault.jpg",480,360,"Learn English with EnglishClass101.com","none",763035,10371,444,0,221,4,2017
"trmEq3e04a4","2017-06-22","UCGaOvAFinZ7BCN_FDmw74fQ","st lucia vacation travel guide expedia","St. Lucia – Find this island nation floating between the waters of the Atlantic Ocean and the Caribbean Sea. Explore this beautiful destination now to make the ...","https://i.ytimg.com/vi/trmEq3e04a4/default.jpg",120,90,"https://i.ytimg.com/vi/trmEq3e04a4/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/trmEq3e04a4/hqdefault.jpg",480,360,"Expedia","none",661908,4002,141,0,236,6,2017
"u-UA8t2EVpA","2017-05-26","UCa1WbVCkTqd5ecG6G2adIow","top 10 most beautiful places in ireland essential irish travel guide <U+0001F1EE><ed><U+00A0><U+00BC>rado day one","Traveling to Ireland or Northern Ireland? From Dublin to Belfast and everything in between, these are the Top 10 Essential Things to Do on the island of Ireland.","https://i.ytimg.com/vi/u-UA8t2EVpA/default.jpg",120,90,"https://i.ytimg.com/vi/u-UA8t2EVpA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/u-UA8t2EVpA/hqdefault.jpg",480,360,"vagabrothers","none",1494305,31957,1117,0,2730,5,2017
"DWa13rkEUkk","2017-08-24","UC7IcJI8PUf5Z3zKxnZvTBog","the problem with travel","We're used to thinking of going traveling as the easy and fun bit of life, but in fact, it's a process fraught with hidden complications and seldom mentioned ...","https://i.ytimg.com/vi/DWa13rkEUkk/default.jpg",120,90,"https://i.ytimg.com/vi/DWa13rkEUkk/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/DWa13rkEUkk/hqdefault.jpg",480,360,"The School of Life","none",338448,8333,1586,0,1024,8,2017
"qdm7Qkod3Q8","2017-12-25","UCt_NLJ4McJlCyYM-dSPRo7Q","how to travel peru","This is how to travel Peru. From Machu Picchu, Puno and to the Huacachina Sand Dunes, this itinerary will take you around 2 weeks. 5 Hot Tips to Peru (FREE): ...","https://i.ytimg.com/vi/qdm7Qkod3Q8/default.jpg",120,90,"https://i.ytimg.com/vi/qdm7Qkod3Q8/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/qdm7Qkod3Q8/hqdefault.jpg",480,360,"Lost LeBlanc","none",367997,8966,203,0,472,12,2017
"N4ZMYokojGw","2017-05-02","UCGaOvAFinZ7BCN_FDmw74fQ","cuba vacation travel guide expedia","Cuba – Enjoy old-world architecture, famous cigars and classic cars in this long-isolated island nation. Check out Cuba's top sights for travelers. When ready ...","https://i.ytimg.com/vi/N4ZMYokojGw/default.jpg",120,90,"https://i.ytimg.com/vi/N4ZMYokojGw/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/N4ZMYokojGw/hqdefault.jpg",480,360,"Expedia","none",1845161,11252,448,0,909,5,2017
