Text,Size,Color,Angle,Font,Repeat,URL
Travel,45,Random,Random,Random,Yes,
Duration,23,Random,Random,Random,Yes,
Ago,23,Random,Random,Random,Yes,
New,21,Random,Random,Random,Yes,
Expedia,12,Random,Random,Random,Yes,
Guide,8,Random,Random,Random,Yes,
Year,8,Random,Random,Random,Yes,
Hours,7,Random,Random,Random,Yes,
Vacation,7,Random,Random,Random,Yes,
Video,6,Random,Random,Random,Yes,
Loading,6,Random,Random,Random,Yes,
Day,6,Random,Random,Random,Yes,
Destination,6,Random,Random,Random,Yes,
Best,5,Random,Random,Random,Yes,
Top,5,Random,Random,Random,Yes,
Country,5,Random,Random,Random,Yes,
Ban,5,Random,Random,Random,Yes,
Hack,5,Random,Random,Random,Yes,
Kcc,5,Random,Random,Random,Yes,
City,5,Random,Random,Random,Yes,
World,5,Random,Random,Random,Yes,
Question,5,Random,Random,Random,Yes,
Youtube,4,Random,Random,Random,Yes,
Sign,4,Random,Random,Random,Yes,
Watch,4,Random,Random,Random,Yes,
Six,4,Random,Random,Random,Yes,
Saturday,4,Random,Random,Random,Yes,
Months,4,Random,Random,Random,Yes,
Check,4,Random,Random,Random,Yes,
Out,4,Random,Random,Random,Yes,
Music,3,Random,Random,Random,Yes,
Show,3,Random,Random,Random,Yes,
State,3,Random,Random,Random,Yes,
Korea,3,Random,Random,Random,Yes,
Abc,3,Random,Random,Random,Yes,
South,3,Random,Random,Random,Yes,
Budget,3,Random,Random,Random,Yes,
Tips,3,Random,Random,Random,Yes,
Restricted,3,Random,Random,Random,Yes,
Bora,3,Random,Random,Random,Yes,
Island,3,Random,Random,Random,Yes,
Apps,3,Random,Random,Random,Yes,
Cc,3,Random,Random,Random,Yes,
Safety,3,Random,Random,Random,Yes,
Thanks,3,Random,Random,Random,Yes,
Answer,3,Random,Random,Random,Yes,
Venice,3,Random,Random,Random,Yes,
Search,2,Random,Random,Random,Yes,
History,2,Random,Random,Random,Yes,
Tv,2,Random,Random,Random,Yes,
Browser,2,Random,Random,Random,Yes,
Please,2,Random,Random,Random,Yes,
Next,2,Random,Random,Random,Yes,
Queue,2,Random,Random,Random,Yes,
Minutes,2,Random,Random,Random,Yes,
Long,2,Random,Random,Random,Yes,
Department,2,Random,Random,Random,Yes,
Raises,2,Random,Random,Random,Yes,
Japan,2,Random,Random,Random,Yes,
