"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"k5enLagtezg",2019-01-06,"UC3fgv-ejI64Gw3FzastFIpw","our travel routine","Don't forget to subscribe! Thank you Clinique for sponsoring this video! What I Am Wearing: Red Striped Sweater - http://bit.ly/2CX5aYd Teddy Jacket ...","https://i.ytimg.com/vi/k5enLagtezg/default.jpg","120","90","https://i.ytimg.com/vi/k5enLagtezg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/k5enLagtezg/hqdefault.jpg","480","360","Kristin Johns","none",165087,8791,49,0,385,1,2019
"BL-dq01_pV8",2019-12-20,"UCl-q7xUuHRdfgAnCHA-n7qQ","barbados travel vlog what to do in barbados rihanna 39 s house bridgetown oistins run barbados","Come to Barbados with me! I show you the best things to do in Barbados and the best places to eat in Barbados. We see Rihanna's house in Barbados, go to the ...","https://i.ytimg.com/vi/BL-dq01_pV8/default.jpg","120","90","https://i.ytimg.com/vi/BL-dq01_pV8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/BL-dq01_pV8/hqdefault.jpg","480","360","Em Sheldon","none",13041,166,28,0,52,12,2019
"M1nmDnG9Crw",2019-08-12,"UC52rvjs4XesrmsG6c363A_w","india trip conclusions india day 20 vlog","We made it home, and finally we managed to film and upload some of our conclusions from our trip to India. The topic is huge and we could talk for hours, but ...","https://i.ytimg.com/vi/M1nmDnG9Crw/default.jpg","120","90","https://i.ytimg.com/vi/M1nmDnG9Crw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/M1nmDnG9Crw/hqdefault.jpg","480","360","JuliaSomething","none",683,24,3,0,24,8,2019
"A0Cljtm28y4",2019-12-11,"UCtBjbLzj22c-PjQ7mLuercA","my travel diary barbados","","https://i.ytimg.com/vi/A0Cljtm28y4/default.jpg","120","90","https://i.ytimg.com/vi/A0Cljtm28y4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/A0Cljtm28y4/hqdefault.jpg","480","360","PAULINYE Paulina Czepielewicz","none",6291,247,5,0,26,12,2019
"Qw59nVWk86I",2019-11-10,"UCRgsi4-icT-wzptD7qzdy-w","stranded in a tropical storm in barbados travel vlog","As the sun rose in Barbados, we packed our bags and prepared for our early morning flight. Extreme wind and rain battered us as we made our way to the ...","https://i.ytimg.com/vi/Qw59nVWk86I/default.jpg","120","90","https://i.ytimg.com/vi/Qw59nVWk86I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Qw59nVWk86I/hqdefault.jpg","480","360","Ella in Wanderlust","none",1467,42,0,0,52,11,2019
"PrlrlEreJ7k",2019-08-29,"UCLwYUrHgQPe6ZNb7v3nOvqA","barcelona trip <U+0001F1EA><U+0001F1F8> korida ili šoping s 39 acom 20 vlO s house bridgetown oistins run barbados","3 zanimljiva komentara u #21 vlog Arena Shopping Center: https://www.arenasdebarcelona.com/ Nešto više o La Rambli ...","https://i.ytimg.com/vi/PrlrlEreJ7k/default.jpg","120","90","https://i.ytimg.com/vi/PrlrlEreJ7k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PrlrlEreJ7k/hqdefault.jpg","480","360","Aleksandar Lekovic","none",614,60,1,0,6,8,2019
"P_iY3GQevN0",2019-04-09,"UC7zIGdexe6ltu-e1Vo8lg4Q","life amp travel updates travel vs lots of work april 2019","I accidentally (almost) washed my phone, had a recent relaxing vacation to Maui, and & quick updates on my life & travel in Hawai'i Subscribe and join me on ...","https://i.ytimg.com/vi/P_iY3GQevN0/default.jpg","120","90","https://i.ytimg.com/vi/P_iY3GQevN0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/P_iY3GQevN0/hqdefault.jpg","480","360","Anthony Perez","none",70,8,0,0,3,4,2019
"3B82XUyL7Ws",2019-12-04,"UCV1sSkBCzscEC2OQ5_06yTA","yamen 19 20 vlog harare","Halo! My name is Mia and I am a YAMEN program participant from Indonesia. With MCC I will be serving in Bulawayo, Zimbabwe for 11 months. To share ...","https://i.ytimg.com/vi/3B82XUyL7Ws/default.jpg","120","90","https://i.ytimg.com/vi/3B82XUyL7Ws/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3B82XUyL7Ws/hqdefault.jpg","480","360","HaloMia","none",145,10,0,0,3,12,2019
"fvybxfxx6jc",2019-02-14,"UC2n4MvLJDH2-GWzjJrC58Zw","how to use your phone while visiting london and the uk","Visiting London from abroad? If you want to be able to use your phone while exploring London and the UK, here are your options for getting your foreign phone ...","https://i.ytimg.com/vi/fvybxfxx6jc/default.jpg","120","90","https://i.ytimg.com/vi/fvybxfxx6jc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/fvybxfxx6jc/hqdefault.jpg","480","360","Love and London","none",28402,689,14,0,64,2,2019
"miCkW1i4ewE",2019-07-18,"UC2n4MvLJDH2-GWzjJrC58Zw","10 things to know before partying in london <U+0001F379><U+0001F37A> london travel tips love and londorun barbados","London nightlife is pretty good if you know where to go and what to do. The awesome thing is that going out in London can look completely different depending ...","https://i.ytimg.com/vi/miCkW1i4ewE/default.jpg","120","90","https://i.ytimg.com/vi/miCkW1i4ewE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/miCkW1i4ewE/hqdefault.jpg","480","360","Love and London","none",30129,623,23,0,63,7,2019
"gRwCG70im4c",2019-11-12,"UChuGvL4Hu6YrVGNtUNudJ2w","trip to baguio 2019 part 2 20vlog by j clydes vlogs","Super enjoy guys sana nag enjoy din kayo sa panonood   Thankyou for watching see you till our next vlog   Sa mga hindi pa nakakapanood ng part 1 eto po ...","https://i.ytimg.com/vi/gRwCG70im4c/default.jpg","120","90","https://i.ytimg.com/vi/gRwCG70im4c/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gRwCG70im4c/hqdefault.jpg","480","360","J.clydes Vlogs","none",961,24,0,0,0,11,2019
"EfiPZaIWb0U",2019-04-03,"UCbttYxy9EuwJUm2ARhOScMg","vlog bali jess amalia vlog","","https://i.ytimg.com/vi/EfiPZaIWb0U/default.jpg","120","90","https://i.ytimg.com/vi/EfiPZaIWb0U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EfiPZaIWb0U/hqdefault.jpg","480","360","Jess Amalia20","none",6412633,47358,5535,0,7347,4,2019
"8tdXV007oN4",2019-11-06,"UCUmpkkshxiIDHNaO17qHkfA","barbados travel vlog last minute trip to paradise","Get comfy and enjoy my adventures as I take a last minute trip to Barbados. #Girlstrip #BarbadosVlog #BarbadosTravelVlog #travelvlog <U+2606> INSTAGRAM ...","https://i.ytimg.com/vi/8tdXV007oN4/default.jpg","120","90","https://i.ytimg.com/vi/8tdXV007oN4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/8tdXV007oN4/hqdefault.jpg","480","360","WhereTyGoes","none",1687,70,1,0,20,11,2019
"kxiUwL6nFEE",2019-08-30,"UCKusRv79waOPyeHNeewKNLQ","barbados vlog cropover rihanna","Welcome to beautiful Barbados. Come along with me as I explore this beautiful country and all it has to offer. I hope one day this video inspires you to visit ...","https://i.ytimg.com/vi/kxiUwL6nFEE/default.jpg","120","90","https://i.ytimg.com/vi/kxiUwL6nFEE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/kxiUwL6nFEE/hqdefault.jpg","480","360","Cheyenne Zychara","none",6062,90,12,0,16,8,2019
"RrEskVSOQ2w",2019-05-24,"UCX2_P3E87g-cBAtr1Lihfyw","making money while traveling van life on the road vanlife","Support This Channel: http://www.patreon.com/elementvanlife Stickers: http://www.elementvanlife.com/shop Instagram: @elementvanlife Portfolio: ...","https://i.ytimg.com/vi/RrEskVSOQ2w/default.jpg","120","90","https://i.ytimg.com/vi/RrEskVSOQ2w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/RrEskVSOQ2w/hqdefault.jpg","480","360","Element Van Life","none",30325,1760,47,0,232,5,2019
"-ga4wZdQ8HM",2019-08-14,"UC3cQWF3e0qcIDEBzCzqp_SQ","traveling solo as a woman all you need to know travel vlog iv","Traveling solo as a woman: ALL you NEED to KNOW. Need some tips on traveling solo as a woman? It's a question I get asked a lot, as it can be super scary if ...","https://i.ytimg.com/vi/-ga4wZdQ8HM/default.jpg","120","90","https://i.ytimg.com/vi/-ga4wZdQ8HM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-ga4wZdQ8HM/hqdefault.jpg","480","360","TRAVEL VLOG IV","none",7637,362,5,0,117,8,2019
