id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugyb3VeEQEMHd54LqJN4AaABAg	13	77	2019-10-28 11:47:37	SciOne	Бесплатная школа хорошо оплачиваемой профессии: <a href="http://bit.ly/2qMTdkh">http://bit.ly/2qMTdkh</a> <br /><br />Друзья, спасибо за вашу поддержку на Patreon <a href="https://www.patreon.com/SciOne">https://www.patreon.com/SciOne</a> ! <br />Oleksii Leonov, Pavel Novikov, Sergey Chapaev, Дмитрий Полуэктов, Илья Соскин, Makovskyj Danilo, merlin.metso, Алексей Непоклонов, Anton Novozhenin, Boris, Clyde Herdon, Denis Titusov, Dmitry Ershov, Evgeniy Tsybrov, Evgeny Vrublevsky, FBB Alumni CLUB, Frans Pol, Ivan Semernik, JuliaMarakova, Kirill Meleshko, Kos Korolev, Lennonenko, Marat Reymers, Nikolay Matveychuk, pattyb, Pavel Plotnikov, Sersado, Spartak Kagramanyan, tatyana skywalker, Артём Корнухов, Дмитрий Мельник, Евген Недалёкий, Игорь Якупов, Anton Bolotov, Eugen Zinchenko, Gordeev Vladimir, iDeBugger Freeman, Konstantin Bredyuk, maria virokhovsky, Nazar Panchoshnyk, Pavel Boldyrev, Shchotkin Dmytro, Sonya Tihhonova-Sivkova, Белозьоров Владимир, Евгений Коцарев, Konstantin Okonechnikov, 1squad, Aibulat Musin, Alexander Kozhevnikov, Andrew Gorshenin, andrey, Anton Gromov, Artem Rudenko, Artur Abdulaev, Daniil Nosov, Dasha Ermolova, DemetriusXXI, Denis Mulev, Dmitriy Khramtsov, Ingvarr, Irina Pukhova, JIN, Johann Ersch, Ksenia Eremina, Maria Burtseva, Nikomi, Pavel Ognev, Revertron, Romana Pechenezhskaya, Ruslan Sibogatov, Sergei Odintsov, SERGEY FEDOROV, Sergey LeeSoft, SergeyTilion, Serghei Troscenco, Sofia Feiguelman, Stanislav, Svetlana Bondar, Tass Neposeda, Vitaliy, Zaur Aslanov, Георгий Журавлев, Иван Толмачев, Илья Сухов, Ковтун Екатерина Дмитриевна, Колышницын Артём Андреевич, Михаил, Моисеев Михаил, Никита Рыжков, Руслан Якупов.	UCSaVoRErW4kqKsDqExs2MXA	http://www.youtube.com/channel/UCSaVoRErW4kqKsDqExs2MXA	0		
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI92spLSNsHEd		0	2019-12-23 10:16:17	Oleksandr Kovtunov	@BatmassEvE E.N.D это правда	UCmevdVYw-AoPeN_nZHZlcvA	http://www.youtube.com/channel/UCmevdVYw-AoPeN_nZHZlcvA	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI92ffpWwKjDj		0	2019-12-18 07:43:01	mr.greed	@Elen Ru рашка она и в Африке рашка. гы парадокс))	UCfhLHbdQAHEflsDybf5-iQg	http://www.youtube.com/channel/UCfhLHbdQAHEflsDybf5-iQg	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI9156ybhUSBd		0	2019-11-08 21:06:23	Лариса Колчанова	Эта "школа" - шарага для развода доверчивых лохов, примечательно, что она находится в Казани, где местная гиперкоррумпированная этнократия создала распил-проект "Иннополис". Это зашквар Шарифов, такое дерьмо рекламировать, или для тебя дерьмо (и деньги) не пахнут, если типа свои татары предложили?	UCrUGjul58EK5uuGsfpJ5ngw	http://www.youtube.com/channel/UCrUGjul58EK5uuGsfpJ5ngw	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90tRUFHMKc-		0	2019-11-03 22:55:29	Elen Ru	@BatmassEvE E.N.D козлина - страна наша Россия, выучи хоть это недоумок.	UCLE2nrTdGLljlVEHHlFUi3w	http://www.youtube.com/channel/UCLE2nrTdGLljlVEHHlFUi3w	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90pbCs9EB9F		0	2019-11-02 11:12:16	Aleksej U	Артур ..всё прекрасно но твоя версия тоже далека от истины как и расследование наемного журналюги. ..Эту девочку также подставили, и тут большая много ходовка, сравнимая с фин. пирамидами.Кто первый вынес тот и зачинщик а в конце журналист,злой ученый и наивные инвесторы.Артурчик ты тоже не до учился как и все мы.	UCEoS6GE_RS0Adw7tcPty5zQ	http://www.youtube.com/channel/UCEoS6GE_RS0Adw7tcPty5zQ	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90l8FD-tjNr		2	2019-10-31 17:33:29	Данил Гробовец	@SciOne Вы можете ручаться, что "школа 21" не надувательство? Можете подкрепить какими-нибудь заявлениями/новостями с доставерных источников? Буду очень признателен.	UCA9sEomYcZB4DJO3f9KcYQA	http://www.youtube.com/channel/UCA9sEomYcZB4DJO3f9KcYQA	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90hkkxx6nH4		0	2019-10-30 10:01:46	Никита	@BatmassEvE E.N.D При чем здесь малый бизнес и "Уникальная образовательная инициатива Сбербанка"?	UCb9eQJ71xyQCmTWVG8nDA5w	http://www.youtube.com/channel/UCb9eQJ71xyQCmTWVG8nDA5w	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90g7t_g0baB		10	2019-10-29 18:54:11	Александр Пушкин	так внезапно перескочил на рекламу французской школы, что я подумал, что это наебалово, с которого и начала свою карьеру героиня выпуска	UCrHuNwWD4HEPRxtlyf2-GmA	http://www.youtube.com/channel/UCrHuNwWD4HEPRxtlyf2-GmA	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90fCjydXiQ3		0	2019-10-29 10:17:19	Мария Тесакова	@bulldozer \ без прокалывания	UC5iZbLYa98GDUSDtAuXrjmg	http://www.youtube.com/channel/UC5iZbLYa98GDUSDtAuXrjmg	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90cv97FCrj3		1	2019-10-28 12:56:23	Мария Тесакова	Так ты и есть слащавый преобразователь мира.	UC5iZbLYa98GDUSDtAuXrjmg	http://www.youtube.com/channel/UC5iZbLYa98GDUSDtAuXrjmg	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90cs2nCmeB6		7	2019-10-28 12:29:18	BatmassEvE E.N.D	@SciOne так к слову, мы не Франция , живя в авторитарном государстве , Францией мы ещё не скоро станем . Когда в России уничтожают малый бизнес а тут какие-то фантаст. возможности ... Почитаю ради интереса что за новый развод. Подобное уже было. П.С и все же, это реклама.)	UCiHLRbbqq0zLbXMNfiKn9Gw	http://www.youtube.com/channel/UCiHLRbbqq0zLbXMNfiKn9Gw	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90cqp48Jd0s		8	2019-10-28 12:18:34	SciOne	Будущие работодатели готовы платить за подготовку кадров. Искать и надеяться — дороже. Эту модель школы придумали во Франции. Почитайте про Эколь 42.	UCSaVoRErW4kqKsDqExs2MXA	http://www.youtube.com/channel/UCSaVoRErW4kqKsDqExs2MXA	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugyb3VeEQEMHd54LqJN4AaABAg.90cnHP9vwgI90cpxKkIbes		11	2019-10-28 12:10:57	BatmassEvE E.N.D	Очередное казино реклама.) Ты учишься , в процессе заставят платить, ну или ещё как развести . В Рашке нет ничего бесплатного и никакая организация не поможет просто так, не получив что то взамен	UCiHLRbbqq0zLbXMNfiKn9Gw	http://www.youtube.com/channel/UCiHLRbbqq0zLbXMNfiKn9Gw	1	Ugyb3VeEQEMHd54LqJN4AaABAg	SciOne
Ugz1bEUxTm3r6LmJ6St4AaABAg	0	0	2020-02-21 11:28:34	Арман Асылбеков	На словах ты Лев Толстой,а на деле хлебушек простой.	UCSMuqsCnVUvDg1Rq1GNhP4Q	http://www.youtube.com/channel/UCSMuqsCnVUvDg1Rq1GNhP4Q	0		
UgwsY-Yeyy6ez9TW5QV4AaABAg	0	0	2020-02-20 08:13:42	Антон Сергеев	Плюс, заработала не сама, инвестиции заработком я не считаю.	UCczATSBB5WzFc1A5CfYajkA	http://www.youtube.com/channel/UCczATSBB5WzFc1A5CfYajkA	0		
UgyrEUUm5C7qFoiHYy14AaABAg	0	0	2020-02-20 08:05:10	Антон Сергеев	<a href="https://www.youtube.com/watch?v=as8HDETraSY&amp;t=5m29s">5:29</a> противоречит <a href="https://www.youtube.com/watch?v=as8HDETraSY&amp;t=1m50s">1:50</a><br />в принципе <a href="https://www.youtube.com/watch?v=as8HDETraSY&amp;t=1m50s">1:50</a> вообще противоречит само видео, мошенники не зарабатывают :-)	UCczATSBB5WzFc1A5CfYajkA	http://www.youtube.com/channel/UCczATSBB5WzFc1A5CfYajkA	0		
