position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCwobzUc3z-0PrFpoRxNszXQ	Yellow Brick Cinema - Relaxing Music	sqnquis6doM	2020-02-23T02:57:33.000Z	2020-02-23 02:57:33	🔴 Relaxing Sleep Music 24/7, Sleep Meditation, Deep Sleep Music, Spa, Insomnia, Yoga, Study, Sleep	Relaxing Sleep Music 24/7, Sleep Meditation, Deep Sleep Music, Spa, Insomnia, Yoga, Study, Sleep - Helping you fall asleep to deep sleep music is what our work is all about. Yellow Brick Cinema’s relaxing sleep music videos provide peaceful music to help you fall asleep fast. If you can’t sleep or suffer regularly with insomnia, use this sleeping music in the background as calm music for soothing relaxation or as meditation music after a busy day at work and experience the benefits of deep sleep music. Our music for sleep and sleep meditation is ideal relaxation music for sleep therapy or can be used as stress relief music. Whether you want calming music for a power nap or refreshing sleep meditation music, Yellow Brick Cinema’s relaxing sleep music will support you and make you wonder why you didn’t try relaxing sleep music earlier. Of course, to fall asleep fast, our music for insomnia with its embedded delta waves is essential deep sleep music and great to help as sleep therapy for insomnia, enabling you to relax. So, if you can’t sleep, use this soft music as soothing music to relax and sleep. Visit the Yellow Brick Cinema homepage to find out more about our selection of Sleep Music and Relaxing Music. Our popular Study Music provides music that will help you focus and study. This work music will help you to work, study or read. Use our study music to prepare for exams and our relaxation music to reduce exam related anxiety. Our relaxing meditation music has a variety of genres including Zen and Tibetan meditation and this calm music includes binaural beats to help with mindfulness and calming of thoughts. Many people use our relaxing meditation music to find inner peace or use our relaxing music as yoga music for yoga or as spa music if relaxing music is what you want, just like in a spa. This relaxing meditation music provides great opportunity for meditation and relaxation. In such a fast-paced world, our relaxing music is a must for any relaxation requirements. Thanks for tuning in to our relaxing sleep music! Introduce yourself to the Yellow Brick Cinema community in the comments section and let us know where in the world you’re listening from. Enjoy! Love, Margie. Be sure to visit and subscribe to Yellow Brick Cinema to enjoy our full selection of relaxing music. SUBSCRIBE: http://bit.ly/yellowbrickcinema. To listen to Yellow Brick Cinema’s music offline, buy our music on iTunes: https://apple.co/2CJBRsL Join us on Social Media: - Visit our website: http://www.yellowbrickcinema.com - Instagram: https://www.instagram.com/yellow.brick.cinema - Facebook: https://www.facebook.com/yellowbrickcinema Yellow Brick Cinema’s music for sleeping is relaxing music that helps to reduce anxiety and restore inner peace. Our calm music uses nature sounds and ambient instrumental music to bring about soothing relaxation for body and mind. Use our beautiful music for autogenic training to ensure whole-body sleep relaxation or as part of your sleep meditation practice. Our sleeping music is ideal music for stress relief, with the peaceful music relaxing and soothing your tiredness and tension as you unwind. Yellow Brick Cinema’s deep sleeping music is composed to beat insomnia. If you struggle to go to sleep then our music for insomnia, using delta waves, is the answer for you. Incorporating new age breakthroughs with binaural beats, solfeggio frequency music and isochronic tones, our deep sleep music will help you to fall asleep fast. Moreover, the 432hz healing frequency and 528hz benefits of our music for sleep will lead you to experiencing restorative, deep, healing sleep. This calm music for sleeping supports new age sleep meditation practices such as lucid dreaming and astral projection by using binaural beat frequencies. Our relaxing sleep music is available as 30 min sleep music or 8 hour sleep music videos. You can therefore choose the length of sleepy, calm music that best meets your needs. Are you are looking for 30 min of power nap music? Perhaps you want peaceful music, relaxing the tension in your muscles as part of autogenic training? Or maybe ambient meditation music? Are you hoping to practise your lucid dreaming with sleep meditation music? Or are you wanting a full night’s rest with deep sleeping music? The choice is yours. So, if you are struggling to go to sleep or if you are looking to fall asleep faster, try listening to Yellow Brick Cinema’s relaxing sleep music. Let our deep sleep music, with delta waves and ambient instrumental music, help you reach a state of deep sleep relaxation so that you easily fall asleep. Or, simply enjoy the sleep meditation music for stress relief letting it bring you to a place of soothing relaxation. To listen to our other relaxing music, check out the playlists on our homepage: http://bit.ly/yellowbrickcinema. #sleepmusic #musicforsleep #sleepingmusic #relaxingmusic #sleep	10	Music	PT0S	0	2d	sd	false	https://i.ytimg.com/vi/sqnquis6doM/maxresdefault_live.jpg	1	107618	1252	73	0	0
2	UCepWEz3BW6EMKA4CU-yGDMw	TOP Music	AQCwYcarua0	2020-02-23T09:17:12.000Z	2020-02-23 09:17:12	Top 40 Pop Songs 2020 - Top Songs This Week ( Best English Songs Playlist on Spotify )	Top 40 Pop Songs 2020 - Top Songs This Week ( Best English Songs Playlist on Spotify ) Top 40 Pop Songs 2020 - Top Songs This Week ( Best English Songs Playlist on Spotify )	10	Music	PT1H7M42S	462	2d	hd	false	https://i.ytimg.com/vi/AQCwYcarua0/maxresdefault.jpg	1	121876	737	128	0	49
3	UC26zQlW7dTNcyp9zKHVmv4Q	HDSounDI	7mA8fEoxsA8	2020-02-23T21:19:52.000Z	2020-02-23 21:19:52	Most Beautiful Music: "Try Again" by Kamikaze Kitty	Subscribe: http://hdsi.cc/Subscribe Stream (Spotify): https://spoti.fi/2Swxmb5 Music by: Kamikaze Kitty Album: Step Into The Light Composed by: Zachary Sundwall Listen to this track on loop: http://hdsoundi.com/video-880&loop Follow Kamikaze Kitty: https://open.spotify.com/artist/1k9Ta18VaWUcHYGfojxon9 https://www.instagram.com/kamikaze_kitty_music/ For licensing enquiries visit: https://www.ninjakittymusic.com/ ARTWORK DETAILS: Image link: https://www.pixiv.net/en/artworks/77159036 By: KUEN Follow the artist: https://www.pixiv.net/en/users/24120608 ANIMATION CREDITS: Animation and visual effects made by HDSounDI™ POPULAR PLAYLISTS: http://hdsi.cc/Playlist-Epic http://hdsi.cc/Playlist-Battle http://hdsi.cc/Playlist-Emotional http://hdsi.cc/Playlist-Beautiful IMPORTANT NOTICE: All music and images featured in this video belong to the original artists. Any correspondence regarding permissions and licensing should be sent directly to the respective artists/labels. Have a question? Then this FAQ page may be useful: http://hdsoundi.com/go/faq MUSIC SUBMISSION: In order to submit your own music, follow these 3 simple steps: 1. Send us a PM on our Facebook page: ... http://hdsoundi.com/go/facebookPM 2. Briefly introduce yourself and submitted work 3. Include music file/s or link/s to them (stream, store links and, etc.) FIND MORE ABOUT EPIC MUSIC & HDSOUNDI: http://hdsi.cc/Subscribe http://hdsi.cc/BackupChannel http://hdsi.cc/OfficialWebsite http://hdsi.cc/Facebook http://hdsi.cc/Soundcloud http://hdsi.cc/Spotify http://hdsi.cc/Vkontakte "Where words fail, music speaks." - Hans Christian Andersen #HDSounDI #KamikazeKitty #StepIntoTheLight	10	Music	PT2M44S	164	2d	hd	false	https://i.ytimg.com/vi/7mA8fEoxsA8/maxresdefault.jpg		11565	1512	4	0	84
4	UCElDIDDQVSU0xrtYQGPkyAQ	One For All.	wH25SkqSxnQ	2020-02-17T04:30:02.000Z	2020-02-17 04:30:02	Top Songs 2020 💘 The Most Popular Songs 2020 💘 Best English Music Playlist 2020	Top Songs 2020 💘 The Most Popular Songs 2020 💘 Best English Music Playlist 2020 Thanks for watching. If you like video please "SUBSCRIBE" - "LIKE" - "SHARE" -"COMMENT" ►Subscribe for more: https://bit.ly/2sxovZO ►Fanpage: https://www.facebook.com/MusicTV20xx/	24	Entertainment	PT1H55M51S	3351	2d	hd	false		1	386116	2602	287	0	168
5	UCgQ8olRhkepJWlVF9IVmPGQ	UNIVERSAL MUSIC TAIWAN 環球音樂	J4QBu3Cubqo	2020-02-23T13:15:25.000Z	2020-02-23 13:15:25	張學友 Jacky Cheung –〈等風雨經過〉Official Music Video	人的善與美 在困境與艱難時刻最能體現 張學友演唱 周杰倫譜曲 〈等風雨經過〉 約定微笑相見 張學友先生希望透過環球音樂向在前缐勇敢抗疫救人的醫護致以最崇高的敬意。同時，也希望提醒大家，對抗病毒疫情，光靠醫護人員的努力是不足夠的，必須要每個人一起做好個人衞生，不自私，不添亂，萬眾一心才能獲得最後勝利。 由張學友演唱、周杰倫作曲、方文山填詞的歌曲〈等風雨經過〉，道出大家期待風雨過後，微笑相見的希望 。希望為社會注入正能量！ （特別感謝曾志偉先生的協助） #張學友 #周杰倫 #等風雨經過	10	Music	PT2M55S	175	2d	hd	false	https://i.ytimg.com/vi/J4QBu3Cubqo/maxresdefault.jpg		53905	3433	489	0	275
6	UCp6_KuNhT0kcFk-jXw9Tivg	Magic Music	31VHVWOseoY	2019-12-28T15:52:36.000Z	2019-12-28 15:52:36	New Year Music Mix 2020 🎉Best Music 2019 of Magic Records | No Copyright EDM	New Year Music Mix 2020 🎉Best Music 2019 of Magic Records | No Copyright EDM 🎮 Listen Now: https://lnk.to/MagicGaming (Gaming Playlist) ❗ Expand Description to See Track List ❗ 🚀 Full Catalog Access & Usage Policy: https://m.me/magicmusicsquad ⚡ Magic Instagram: http://bit.ly/2Iny5FN 👉 Submit DEMO to Magic Records : https://bit.ly/2rrL9m0 --------------------------------------------------------------------- 📧 Contact us: hi@magicmusic.io --------------------------------------------------------------------- ✔️ Tracklist: 00:00 Tones And I - Dance Monkey (Coopex, EBEN, Sarah De Warren Cover) [COPYRIGHTED DO NOT USE] ✔️ Stream/Download: https://fanlink.to/dncmk 02:57 Jordan Schor & Marvin Divine - Want It All ✔️ Stream/Download: https://fanlink.to/bnWj 06:13 2nd Life & Far Loss - No Mercy ✔️ Stream/Download: https://fanlink.to/crhi 07:28 Smoozie - Close To Hell ✔️ Stream/Download: https://fanlink.to/clsthll 09:11 Coopex - Say It Now ✔️ Stream/Download: https://fanlink.to/7k3d 10:27 Vince Johnson & Ez Quew - Gimme More (feat. Sarah De Warren & Oscar Del Amor) ✔️ Stream/Download: https://fanlink.to/gmmr 13:20 Edwince & Svniivan & Mitchell Martin - Euphoria ✔️ Stream/Download: https://fanlink.to/nhd7 16:36 BRAN - Tonight ✔️ Stream/Download: https://fanlink.to/crPe 19:11 Arc North - Limbo (ft. Veronica Bravo) ✔️ Stream/Download: https://fanlink.to/LimboArcNorth 21:56 Marin Hoxha, CryJaxx & Kynez - As I Am (feat. jfarr) ✔️ Stream/Download: https://fanlink.to/asIam 25:20 Raven Link & Vin Bogart - Bleeding ✔️ Stream/Download: https://fanlink.to/b87g 28:15 Dreameater - Sarah de Warren - The Voices ✔️ Stream/Download: https://fanlink.to/thvcs 31:14 ROY KNOX - Lost In Sound ✔️ Stream/Download: https://fanlink.to/lis 33:50 Romen Jewels - Heaven (feat. Aloura) ✔️ Stream/Download: https://fanlink.to/jas8 36:33 Svniivan - Loveblind ✔️ Stream/Download: https://fanlink.to/bWCP 39:44 NOIXES - Hold You Down (ft. miles monaco) ✔️ Stream/Download: https://fanlink.to/bwXu 42:52 Rival x Max Hurrell - Demons (ft. Veronica Bravo) ✔️ Stream/Download: https://fanlink.to/bnB4 46:36 TH3 DARP X Godmode - Samurai ✔️ Stream/Download: https://fanlink.to/b6VM 50:04 Jim Yosef & Elisha Sounds - Ignite ✔️ Stream/Download: https://fanlink.to/bmiW 53:50 Arc North - Catch Me When I Fall (ft. Sarah de Warren) ✔️ Stream/Download: https://fanlink.to/bnJE 56:42 Alban Chela - Still Hurts (Ft. Veronica Bravo) ✔️ Stream/Download: https://fanlink.to/stillhurts 59:54 Psyrus - Lights Out (Original Version) ✔️ Stream/Download: https://fanlink.to/bGdH 1:03:07 Nimi Dovrat - Run With You (feat.Shannon Lawn) ✔️ Stream/Download: https://fanlink.to/ccKA 1:05:29 Axol & Alban Chela - Psyche ✔️ Stream/Download: https://fanlink.to/psyche 1:08:36 Onur Ormen & LBLVNC - Fortune ✔️ Stream/Download: https://fanlink.to/bnkK 1:11:50 Skvor - Shine ✔️ Stream/Download: https://fanlink.to/kas8 1:14:38 CryJaxx - You Need You (feat. Rosendale) ✔️ Stream/Download: https://fanlink.to/yndy 1:17:56 Anikdote - Victim (Ft. Aminita Francis) ✔️ Stream/Download: https://fanlink.to/vctm 1:20:52 ROY KNOX - Firefly ✔️ Stream/Download: https://fanlink.to/b7AD 1:24:07 The FifthGuys & Coffeeshop - She Makes Me (ft H3R0) ✔️ Stream/Download: https://fanlink.to/shmm 1:27:53 DG812 - In Your Eyes ✔️ Stream/Download: https://fanlink.to/j3sy 1:31:49 2nd Life - Show You (feat. FETH) ✔️ Stream/Download: https://fanlink.to/b7i9 1:35:28 Marin Hoxha - Good Times (feat. Tara Louise) ✔️ Stream/Download: https://fanlink.to/gdtms 1:39:09 Nytrix & Kaskobi - Memories Are Loud ✔️ Stream/Download: https://fanlink.to/o9qw 1:42:52 Tomline - Bridge ✔️ Stream/Download: https://fanlink.to/bridge 1:45:53 JURGAZ & QV!N - Pure ✔️ Stream/Download: https://fanlink.to/ja9 1:49:04 Taw, Mylky & M.I.M.E - Renegades (The FifthGuys & Coffeeshop Remix) ✔️ Stream/Download: https://fanlink.to/cbtw 1:52:24 Falling North - Olympia (feat. Harley Bird) ✔️ Stream/Download: https://fanlink.to/olymp 1:55:17 Vince Johnson - Alpha ✔️ Stream/Download: https://fanlink.to/alph 1:59:17 Axile - Anymore (feat. Kaine) ✔️ Stream/Download: https://fanlink.to/bm3a --------------------------------------------------------------------- .... New Year 2020 New Year Mix Best music Best of 2019 Music Mix #newyear #2020	10	Music	PT2H2M30S	150	2d	hd	false	https://i.ytimg.com/vi/31VHVWOseoY/maxresdefault.jpg	1	6693396	61317	3851	0	2143
7	UC7bX_RrH3zbdp5V4j5umGgw	Relax Music	VbhvaiwHFmQ	2020-02-21T15:11:51.000Z	2020-02-21 15:11:51	Fresh Coffee JAZZ - Relaxing Instrumental JAZZ Music For Work,Study & Stress Relief	Thank you for listening: Fresh Coffee JAZZ - Relaxing Instrumental JAZZ Music For Work,Study & Stress Relief PLEASE ► SUBSCRIBE! ► https://goo.gl/NmmRWe This smooth live stream radio airs 24/7 and is the home of gentle people and tranquil music. Just let the smooth vibes take over and enjoy! Make sure to check out the channel ► https://goo.gl/NmmRWe for more Jazz, Bossa Nova, Morning Music, French music and more. New Videos ► https://goo.gl/E0ByFC More Jazz ► https://goo.gl/i9ZK64 More Bossa Nova ► https://goo.gl/bzHgvJ More Morning Music ► https://goo.gl/J3hd7f ►AWESOME MUSIC COLLECTION ► https://goo.gl/hJHc3r #relaxmusic #smoothjazz #jazz	10	Music	PT0S	0	2d	sd	false	https://i.ytimg.com/vi/VbhvaiwHFmQ/maxresdefault_live.jpg	1	110731	915	31	0	0
8	UCElDIDDQVSU0xrtYQGPkyAQ	One For All.	Qs4xGT6IMgs	2020-02-11T01:00:02.000Z	2020-02-11 01:00:02	Music Hits 2020 💛 Top 40 Popular Songs Playlist 2020 💛 Best English Music 2020	Music Hits 2020 💛 Top 40 Popular Songs Playlist 2020 💛 Best English Music 2020 Thanks for watching. If you like video please "SUBSCRIBE" - "LIKE" - "SHARE" -"COMMENT" ►Subscribe for more: https://bit.ly/2sxovZO ►Fanpage: https://www.facebook.com/MusicTV20xx/	24	Entertainment	PT1H49M7S	2947	2d	hd	false	https://i.ytimg.com/vi/Qs4xGT6IMgs/maxresdefault.jpg		643207	3412	371	0	116
9	UC5-gWZXAQqSGVfPHkA7NRiQ	Bebe Rexha	zDo0H8Fm7d0	2017-10-23T13:50:02.000Z	2017-10-23 13:50:02	Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video]	Bebe Rexha - Meant to Be (feat. Florida Georgia Line) Listen now: https://BebeRexha.lnk.to/MeantToBe Spotify: https://BebeRexha.lnk.to/MeantToBe/Spotify Apple Music: https://BebeRexha.lnk.to/MeantToBe/AppleMusic iTunes: https://BebeRexha.lnk.to/MeantToBe/iTunes Directed by: Sophie Muller Connect with Bebe: Facebook: http://smarturl.it/fb.BebeRexha Twitter: http://smarturl.it/t.BebeRexha Instagram: http://smarturl.it/ig.beberexha Website: http://smarturl.it/w.BebeRexha Lyrics: [Verse 1] Baby, lay on back and relax Kick your pretty feet up on my dash No need to go nowhere fast Let’s enjoy right here, where we at Who knows where this road is supposed to lead We got nothin’ but time As long as you right here next time Everything’s gonna be alright [Chorus] If it’s meant to be, it’ll be, it’ll be Baby just let it be If it’s meant to be, it’ll be, it’ll be Baby just let it be So won't you ride with me, ride with me See where this thing goes If it’s meant to be, it’ll be, it’ll be Baby if it’s meant to be [Verse 2] I don’t need to be so uptight But my heart’s been hurt a couple times By a couple guys that didn’t treat me right I ain’t gonna lie, I ain’t gonna lie ‘Cause I’m tired of the fake love Show me what you’re made of Boy, make me believe [Florida Georgia Line] Whoa hold up, girl, don’t you know you’re beautiful And it’s easy to see [Chorus] If it’s meant to be, it’ll be, it’ll be Baby just let it be If it’s meant to be, it’ll be, it’ll be Baby just let it be So won't you ride with me, ride with me See where this thing goes If it’s meant to be, it’ll be, it’ll be Baby if it’s meant to be So come on ride with me, ride with me, See where this thing goes So come on ride with me, ride with me, Maybe if it’s meant to be [Bridge] Maybe we do, maybe we don’t Maybe we will, maybe we won’t [Chorus] But if it’s meant to be, it’ll be, it’ll be Baby just let it be If it’s meant to be, it’ll be, it’ll be Baby just let it be So won't you ride with me, ride with me See where this thing goes If it’s meant to be, it’ll be, it’ll be Baby if it’s meant to be If it’s meant to be, it’ll be, it’ll be Baby if it’s meant to be If it’s meant to be, it’ll be, it’ll be Baby if it’s meant to be Performed on The Tonight Show With Jimmy Fallon on 1/23, with Florida Georgia Line	10	Music	PT2M58S	178	2d	hd	false		1	874666204	3695953	222565	0	88271
10	UCl7cVzHngS0kg51TPrDbqlg	Shadow Music	o71ggIZ1CAk	2019-12-05T15:30:36.000Z	2019-12-05 15:30:36	Trevor Daniel - Falling (Lyrics)	Trevor Daniel - Falling (Lyrics) // come closer, i'll give you all my love (Lyrics) Listen to Falling (Lyric) by Trevor Daniel: https://geo.music.apple.com/us/album/falling/1437955872?i=1437955882&mt=1&app=music&at=1010lMFj Trevor Daniel https://twitter.com/iamtrevordaniel https://www.instagram.com/iamtrevordaniel Lyric video for "Falling" by Trevor Daniel	24	Entertainment	PT3M19S	199	2d	hd	false	https://i.ytimg.com/vi/o71ggIZ1CAk/maxresdefault.jpg		33124124	579418	7851	0	13064
