"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"JcVDXHeD59c","2018-03-30T03:05:12.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Privilege (Official Audio)","My Dear Melancholy, Available now from The Weeknd. http://theweeknd.co/mdmYD Connect with The Weeknd https://facebook.com/theweeknd ...","https://i.ytimg.com/vi/JcVDXHeD59c/default.jpg","120","90","https://i.ytimg.com/vi/JcVDXHeD59c/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JcVDXHeD59c/hqdefault.jpg","480","360","The Weeknd","none",15707002,150247,2484,0,5382
"rsEne1ZiQrk","2018-03-30T03:07:19.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Call Out My Name (Official Audio)","My Dear Melancholy, Available now from The Weeknd. http://theweeknd.co/mdmYD Connect with The Weeknd https://facebook.com/theweeknd ...","https://i.ytimg.com/vi/rsEne1ZiQrk/default.jpg","120","90","https://i.ytimg.com/vi/rsEne1ZiQrk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rsEne1ZiQrk/hqdefault.jpg","480","360","The Weeknd","none",105760604,1034270,28180,0,32100
"R0rKB_bsUNg","2018-03-30T03:06:44.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Wasted Times (Official Audio)","My Dear Melancholy, Available now from The Weeknd. http://theweeknd.co/mdmYD Connect with The Weeknd https://facebook.com/theweeknd ...","https://i.ytimg.com/vi/R0rKB_bsUNg/default.jpg","120","90","https://i.ytimg.com/vi/R0rKB_bsUNg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/R0rKB_bsUNg/hqdefault.jpg","480","360","The Weeknd","none",38036836,303092,6860,0,8420
"o6ytLPKscrU","2019-12-06T04:00:33.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Blinding Lights (Official Lyric Video)","The official lyric video for The Weeknd ""Blinding Lights"" - available everywhere now: http://theweeknd.co/blindinglightsYD <U+25BB>Subscribe to The Weeknd on ...","https://i.ytimg.com/vi/o6ytLPKscrU/default.jpg","120","90","https://i.ytimg.com/vi/o6ytLPKscrU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/o6ytLPKscrU/hqdefault.jpg","480","360","The Weeknd","none",7163593,113206,1546,0,4594
"wKDU5pXhf5o","2018-03-30T03:05:28.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Hurt You feat. Gesaffelstein (Official Audio)","""Hurt You"" feat. Gesaffelstein My Dear Melancholy, Available now from The Weeknd. http://theweeknd.co/mdmYD Connect with The Weeknd ...","https://i.ytimg.com/vi/wKDU5pXhf5o/default.jpg","120","90","https://i.ytimg.com/vi/wKDU5pXhf5o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/wKDU5pXhf5o/hqdefault.jpg","480","360","The Weeknd","none",36197578,250949,5488,0,7277
"OlStmta0Vh4","2018-03-30T03:06:27.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - I Was Never There feat. Gesaffelstein (Official Audio)","""I Was Never There"" feat. Gesaffelstein My Dear Melancholy, Available now from The Weeknd. http://theweeknd.co/mdmYD Connect with The Weeknd ...","https://i.ytimg.com/vi/OlStmta0Vh4/default.jpg","120","90","https://i.ytimg.com/vi/OlStmta0Vh4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OlStmta0Vh4/hqdefault.jpg","480","360","The Weeknd","none",29669355,252346,5144,0,9502
"IfCuarZqJzM","2019-05-05T15:21:12.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","SZA, The Weeknd, Travis Scott - Power Is Power (Official Video)","Listen to “Power Is Power” by SZA, The Weeknd, Travis Scott off 'For The Throne' everywhere: http://smarturl.it/forthethronealbum Amazon Music: ...","https://i.ytimg.com/vi/IfCuarZqJzM/default.jpg","120","90","https://i.ytimg.com/vi/IfCuarZqJzM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/IfCuarZqJzM/hqdefault.jpg","480","360","The Weeknd","none",24023239,506613,13709,0,16260
"umvomiY7804","2011-12-28T04:32:01.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Outside","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/umvomiY7804/default.jpg","120","90","https://i.ytimg.com/vi/umvomiY7804/mqdefault.jpg","320","180","https://i.ytimg.com/vi/umvomiY7804/hqdefault.jpg","480","360","The Weeknd","none",10455790,46320,1192,0,2986
"t2_YyRBYZjM","2011-06-16T01:47:59.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Birds (Part 1)","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/t2_YyRBYZjM/default.jpg","120","90","https://i.ytimg.com/vi/t2_YyRBYZjM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/t2_YyRBYZjM/hqdefault.jpg","480","360","The Weeknd","none",11063794,53232,1100,0,3249
"YVCV6hyv7ac","2011-06-25T04:20:13.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Trust Issues (Remix)","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/YVCV6hyv7ac/default.jpg","120","90","https://i.ytimg.com/vi/YVCV6hyv7ac/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YVCV6hyv7ac/hqdefault.jpg","480","360","The Weeknd","none",24907184,156703,2919,0,7355
"YWIhwplfx4Q","2011-08-20T22:15:45.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Zone (feat. Drake)","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/YWIhwplfx4Q/default.jpg","120","90","https://i.ytimg.com/vi/YWIhwplfx4Q/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YWIhwplfx4Q/hqdefault.jpg","480","360","The Weeknd","none",18809103,80016,2089,0,6593
"sX9DgavXiN4","2011-03-20T23:55:11.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - High For This","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/sX9DgavXiN4/default.jpg","120","90","https://i.ytimg.com/vi/sX9DgavXiN4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sX9DgavXiN4/hqdefault.jpg","480","360","The Weeknd","none",68729363,346354,7064,0,13434
